epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685474820944,2023-05-30T22:27:00.944,0.000,-14.024,3.476,-16.402
1685474820964,2023-05-30T22:27:00.964,0.020,-14.512,2.988,-16.159
1685474820984,2023-05-30T22:27:00.984,0.040,-16.220,-0.122,-15.976
1685474821004,2023-05-30T22:27:01.004,0.060,-18.598,0.976,-16.890
1685474821024,2023-05-30T22:27:01.024,0.080,-19.329,3.720,-15.976
1685474821044,2023-05-30T22:27:01.044,0.100,-18.720,4.451,-13.902
1685474821064,2023-05-30T22:27:01.064,0.120,-16.524,2.988,-12.195
1685474821084,2023-05-30T22:27:01.084,0.140,-14.695,6.341,-8.841
1685474821104,2023-05-30T22:27:01.104,0.160,-13.537,8.720,-4.146
1685474821124,2023-05-30T22:27:01.124,0.180,-10.976,7.622,0.854
1685474821144,2023-05-30T22:27:01.144,0.200,-8.841,5.244,6.463
1685474821164,2023-05-30T22:27:01.164,0.220,-6.220,7.134,12.012
1685474821184,2023-05-30T22:27:01.184,0.240,-2.988,10.122,16.341
1685474821204,2023-05-30T22:27:01.204,0.260,-0.244,11.280,20.549
1685474821224,2023-05-30T22:27:01.224,0.280,0.976,13.232,23.720
1685474821244,2023-05-30T22:27:01.244,0.300,3.110,11.585,25.732
1685474821264,2023-05-30T22:27:01.264,0.320,5.061,4.939,27.500
1685474821284,2023-05-30T22:27:01.284,0.340,6.646,0.915,28.902
1685474821304,2023-05-30T22:27:01.304,0.360,10.183,5.061,31.037
1685474821324,2023-05-30T22:27:01.324,0.380,15.000,13.780,33.415
1685474821344,2023-05-30T22:27:01.344,0.400,17.378,17.927,34.146
1685474821364,2023-05-30T22:27:01.364,0.420,18.354,16.524,32.866
1685474821384,2023-05-30T22:27:01.384,0.440,21.951,13.780,29.878
1685474821404,2023-05-30T22:27:01.404,0.460,29.329,8.293,26.341
1685474821424,2023-05-30T22:27:01.424,0.480,35.427,5.610,22.561
1685474821444,2023-05-30T22:27:01.444,0.500,38.780,3.049,19.573
1685474821464,2023-05-30T22:27:01.464,0.520,41.280,-0.976,16.463
1685474821484,2023-05-30T22:27:01.484,0.540,44.024,-4.878,11.463
1685474821504,2023-05-30T22:27:01.504,0.560,45.427,-3.963,6.037
1685474821524,2023-05-30T22:27:01.524,0.580,46.463,-2.683,1.768
1685474821544,2023-05-30T22:27:01.544,0.600,47.073,-3.415,-3.110
1685474821564,2023-05-30T22:27:01.564,0.620,45.244,-0.976,-9.146
1685474821584,2023-05-30T22:27:01.584,0.640,43.415,2.988,-14.512
1685474821604,2023-05-30T22:27:01.604,0.660,42.073,3.720,-19.268
1685474821624,2023-05-30T22:27:01.624,0.680,40.671,5.976,-24.268
1685474821644,2023-05-30T22:27:01.644,0.700,37.866,7.805,-29.268
1685474821664,2023-05-30T22:27:01.664,0.720,33.841,9.268,-34.634
1685474821684,2023-05-30T22:27:01.684,0.740,29.939,12.256,-39.817
1685474821704,2023-05-30T22:27:01.704,0.760,25.854,15.671,-44.695
1685474821724,2023-05-30T22:27:01.724,0.780,21.951,16.159,-48.293
1685474821744,2023-05-30T22:27:01.744,0.800,17.073,18.598,-50.976
1685474821764,2023-05-30T22:27:01.764,0.820,11.646,24.085,-52.439
1685474821784,2023-05-30T22:27:01.784,0.840,6.037,26.098,-53.110
1685474821804,2023-05-30T22:27:01.804,0.860,0.122,27.073,-54.268
1685474821824,2023-05-30T22:27:01.824,0.880,-5.732,31.280,-54.756
1685474821844,2023-05-30T22:27:01.844,0.900,-12.927,31.646,-54.085
1685474821864,2023-05-30T22:27:01.864,0.920,-20.854,30.549,-52.805
1685474821884,2023-05-30T22:27:01.884,0.940,-28.902,32.439,-50.915
1685474821904,2023-05-30T22:27:01.904,0.960,-36.890,30.732,-47.927
1685474821924,2023-05-30T22:27:01.924,0.980,-43.171,28.537,-44.146
1685474821944,2023-05-30T22:27:01.944,1.000,-47.988,26.951,-38.659
1685474821964,2023-05-30T22:27:01.964,1.020,-52.317,27.195,-31.646
1685474821984,2023-05-30T22:27:01.984,1.040,-55.061,26.098,-23.049
1685474822004,2023-05-30T22:27:02.004,1.060,-57.744,23.415,-15.000
1685474822024,2023-05-30T22:27:02.024,1.080,-60.610,22.927,-8.415
1685474822044,2023-05-30T22:27:02.044,1.100,-62.927,23.841,-2.500
1685474822064,2023-05-30T22:27:02.064,1.120,-64.573,18.963,2.866
1685474822084,2023-05-30T22:27:02.084,1.140,-64.878,12.378,8.415
1685474822104,2023-05-30T22:27:02.104,1.160,-63.963,11.220,14.085
1685474822124,2023-05-30T22:27:02.124,1.180,-63.902,12.012,19.146
1685474822144,2023-05-30T22:27:02.144,1.200,-62.988,9.329,24.146
1685474822164,2023-05-30T22:27:02.164,1.220,-59.695,5.671,28.476
1685474822184,2023-05-30T22:27:02.184,1.240,-54.024,0.671,33.598
1685474822204,2023-05-30T22:27:02.204,1.260,-46.524,-5.183,39.268
1685474822224,2023-05-30T22:27:02.224,1.280,-36.585,-8.841,45.427
1685474822244,2023-05-30T22:27:02.244,1.300,-25.244,-9.756,52.561
1685474822264,2023-05-30T22:27:02.264,1.320,-15.366,-9.939,58.415
1685474822284,2023-05-30T22:27:02.284,1.340,-6.768,-9.878,60.915
1685474822304,2023-05-30T22:27:02.304,1.360,-0.854,-4.024,58.963
1685474822324,2023-05-30T22:27:02.324,1.380,0.610,3.780,50.671
1685474822344,2023-05-30T22:27:02.344,1.400,0.183,11.402,38.232
1685474822364,2023-05-30T22:27:02.364,1.420,0.793,12.439,25.610
1685474822384,2023-05-30T22:27:02.384,1.440,-0.183,7.134,11.280
1685474822404,2023-05-30T22:27:02.404,1.460,-5.061,-3.171,-4.207
1685474822424,2023-05-30T22:27:02.424,1.480,-9.451,-11.829,-14.024
1685474822444,2023-05-30T22:27:02.444,1.500,-10.183,-16.951,-17.317
1685474822464,2023-05-30T22:27:02.464,1.520,-7.073,-15.366,-14.817
1685474822484,2023-05-30T22:27:02.484,1.540,-1.951,-11.585,-5.854
1685474822504,2023-05-30T22:27:02.504,1.560,3.415,-11.707,10.488
1685474822524,2023-05-30T22:27:02.524,1.580,9.817,-12.012,30.854
1685474822544,2023-05-30T22:27:02.544,1.600,17.134,-9.390,49.329
1685474822564,2023-05-30T22:27:02.564,1.620,24.695,-5.976,64.878
1685474822584,2023-05-30T22:27:02.584,1.640,28.659,-1.341,74.695
1685474822604,2023-05-30T22:27:02.604,1.660,30.610,-0.732,78.232
1685474822624,2023-05-30T22:27:02.624,1.680,32.927,-3.720,78.415
1685474822644,2023-05-30T22:27:02.644,1.700,32.927,-5.000,73.537
1685474822664,2023-05-30T22:27:02.664,1.720,30.976,-2.256,64.451
1685474822684,2023-05-30T22:27:02.684,1.740,28.171,3.537,53.110
1685474822704,2023-05-30T22:27:02.704,1.760,24.024,5.854,38.780
1685474822724,2023-05-30T22:27:02.724,1.780,20.854,4.695,20.488
1685474822744,2023-05-30T22:27:02.744,1.800,18.841,4.268,-1.037
1685474822764,2023-05-30T22:27:02.764,1.820,17.256,6.159,-24.451
1685474822784,2023-05-30T22:27:02.784,1.840,14.146,9.451,-48.476
1685474822804,2023-05-30T22:27:02.804,1.860,8.659,11.280,-71.768
1685474822824,2023-05-30T22:27:02.824,1.880,5.366,12.012,-92.500
1685474822844,2023-05-30T22:27:02.844,1.900,5.671,13.537,-110.183
1685474822864,2023-05-30T22:27:02.864,1.920,7.866,15.000,-123.537
1685474822884,2023-05-30T22:27:02.884,1.940,12.073,10.061,-126.890
1685474822904,2023-05-30T22:27:02.904,1.960,16.280,5.915,-117.622
1685474822924,2023-05-30T22:27:02.924,1.980,19.146,12.500,-99.024
1685474822944,2023-05-30T22:27:02.944,2.000,20.976,25.061,-76.341
1685474822964,2023-05-30T22:27:02.964,2.020,22.195,26.159,-53.171
1685474822984,2023-05-30T22:27:02.984,2.040,21.463,15.793,-33.841
1685474823004,2023-05-30T22:27:03.004,2.060,18.720,6.585,-19.207
1685474823024,2023-05-30T22:27:03.024,2.080,16.280,5.915,-7.927
1685474823044,2023-05-30T22:27:03.044,2.100,14.756,9.573,1.159
1685474823064,2023-05-30T22:27:03.064,2.120,12.195,9.268,6.890
1685474823084,2023-05-30T22:27:03.084,2.140,9.146,1.585,9.878
1685474823104,2023-05-30T22:27:03.104,2.160,6.646,-7.073,11.524
1685474823124,2023-05-30T22:27:03.124,2.180,5.244,-11.220,11.098
1685474823144,2023-05-30T22:27:03.144,2.200,5.122,-9.512,8.780
1685474823164,2023-05-30T22:27:03.164,2.220,5.488,-11.829,7.073
1685474823184,2023-05-30T22:27:03.184,2.240,5.671,-17.134,5.671
1685474823204,2023-05-30T22:27:03.204,2.260,5.793,-20.793,5.122
1685474823224,2023-05-30T22:27:03.224,2.280,5.854,-18.293,3.841
1685474823244,2023-05-30T22:27:03.244,2.300,5.427,-11.829,3.171
1685474823264,2023-05-30T22:27:03.264,2.320,3.963,-12.317,3.293
1685474823284,2023-05-30T22:27:03.284,2.340,3.537,-15.305,3.537
1685474823304,2023-05-30T22:27:03.304,2.360,5.305,-14.390,4.207
1685474823324,2023-05-30T22:27:03.324,2.380,7.317,-12.378,5.854
1685474823344,2023-05-30T22:27:03.344,2.400,7.134,-11.341,4.756
1685474823364,2023-05-30T22:27:03.364,2.420,6.951,-7.744,2.134
