epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685474169796,2023-05-30T22:16:09.796,0.000,-27.073,8.049,-6.951
1685474169816,2023-05-30T22:16:09.816,0.020,-26.707,8.171,-6.890
1685474169836,2023-05-30T22:16:09.836,0.040,-26.524,8.780,-6.646
1685474169856,2023-05-30T22:16:09.856,0.060,-25.732,9.573,-4.451
1685474169876,2023-05-30T22:16:09.876,0.080,-26.646,11.951,-2.622
1685474169896,2023-05-30T22:16:09.896,0.100,-27.683,14.634,-0.610
1685474169916,2023-05-30T22:16:09.916,0.120,-28.963,16.707,1.098
1685474169936,2023-05-30T22:16:09.936,0.140,-30.061,16.037,1.646
1685474169956,2023-05-30T22:16:09.956,0.160,-31.341,16.463,2.439
1685474169976,2023-05-30T22:16:09.976,0.180,-33.354,19.756,2.439
1685474169996,2023-05-30T22:16:09.996,0.200,-34.390,22.805,3.780
1685474170016,2023-05-30T22:16:10.016,0.220,-34.451,21.768,6.768
1685474170036,2023-05-30T22:16:10.036,0.240,-33.293,20.854,9.390
1685474170056,2023-05-30T22:16:10.056,0.260,-30.732,20.305,12.866
1685474170076,2023-05-30T22:16:10.076,0.280,-28.049,20.122,17.195
1685474170096,2023-05-30T22:16:10.096,0.300,-25.793,22.439,21.037
1685474170116,2023-05-30T22:16:10.116,0.320,-23.171,22.378,24.817
1685474170136,2023-05-30T22:16:10.136,0.340,-18.598,17.622,28.963
1685474170156,2023-05-30T22:16:10.156,0.360,-12.378,12.988,32.622
1685474170176,2023-05-30T22:16:10.176,0.380,-7.927,11.280,35.915
1685474170196,2023-05-30T22:16:10.196,0.400,-5.305,11.402,38.659
1685474170216,2023-05-30T22:16:10.216,0.420,-3.232,10.305,40.244
1685474170236,2023-05-30T22:16:10.236,0.440,-1.098,10.244,40.000
1685474170256,2023-05-30T22:16:10.256,0.460,0.305,11.341,38.841
1685474170276,2023-05-30T22:16:10.276,0.480,0.854,12.256,36.524
1685474170296,2023-05-30T22:16:10.296,0.500,2.500,10.915,34.756
1685474170316,2023-05-30T22:16:10.316,0.520,4.817,7.683,32.744
1685474170336,2023-05-30T22:16:10.336,0.540,7.988,3.659,29.817
1685474170356,2023-05-30T22:16:10.356,0.560,12.256,1.098,27.988
1685474170376,2023-05-30T22:16:10.376,0.580,16.646,1.524,26.646
1685474170396,2023-05-30T22:16:10.396,0.600,19.817,1.159,25.671
1685474170416,2023-05-30T22:16:10.416,0.620,21.220,0.366,24.024
1685474170436,2023-05-30T22:16:10.436,0.640,22.256,-0.488,21.402
1685474170456,2023-05-30T22:16:10.456,0.660,24.390,-0.976,18.659
1685474170476,2023-05-30T22:16:10.476,0.680,27.256,0.427,16.524
1685474170496,2023-05-30T22:16:10.496,0.700,29.695,0.915,14.207
1685474170516,2023-05-30T22:16:10.516,0.720,31.098,-2.805,11.707
