epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685473370273,2023-05-30T22:02:50.273,0.000,-25.000,3.963,12.317
1685473370293,2023-05-30T22:02:50.293,0.020,-25.183,4.085,11.951
1685473370313,2023-05-30T22:02:50.313,0.040,-23.171,5.549,12.195
1685473370333,2023-05-30T22:02:50.333,0.060,-19.390,7.683,11.280
1685473370353,2023-05-30T22:02:50.353,0.080,-14.939,11.402,10.061
1685473370373,2023-05-30T22:02:50.373,0.100,-10.976,15.000,7.805
1685473370393,2023-05-30T22:02:50.393,0.120,-7.561,16.037,6.280
1685473370413,2023-05-30T22:02:50.413,0.140,-3.659,15.793,5.488
1685473370433,2023-05-30T22:02:50.433,0.160,0.854,16.280,4.268
1685473370453,2023-05-30T22:02:50.453,0.180,5.366,17.317,2.378
1685473370473,2023-05-30T22:02:50.473,0.200,9.756,18.415,-0.793
1685473370493,2023-05-30T22:02:50.493,0.220,13.841,18.293,-4.695
1685473370513,2023-05-30T22:02:50.513,0.240,18.232,16.524,-8.476
1685473370533,2023-05-30T22:02:50.533,0.260,22.805,12.988,-11.098
1685473370553,2023-05-30T22:02:50.553,0.280,26.585,8.171,-13.232
1685473370573,2023-05-30T22:02:50.573,0.300,29.756,3.598,-15.610
1685473370593,2023-05-30T22:02:50.593,0.320,32.317,-1.159,-18.537
1685473370613,2023-05-30T22:02:50.613,0.340,35.488,-4.451,-20.854
1685473370633,2023-05-30T22:02:50.633,0.360,38.963,-5.610,-22.622
1685473370653,2023-05-30T22:02:50.653,0.380,40.915,-5.549,-23.415
1685473370673,2023-05-30T22:02:50.673,0.400,42.073,-7.744,-23.232
1685473370693,2023-05-30T22:02:50.693,0.420,43.780,-11.341,-22.805
1685473370713,2023-05-30T22:02:50.713,0.440,45.000,-10.549,-22.988
1685473370733,2023-05-30T22:02:50.733,0.460,44.756,-7.073,-23.659
1685473370753,2023-05-30T22:02:50.753,0.480,42.439,-7.134,-23.780
1685473370773,2023-05-30T22:02:50.773,0.500,40.549,-8.720,-22.744
1685473370793,2023-05-30T22:02:50.793,0.520,40.732,-10.488,-20.610
1685473370813,2023-05-30T22:02:50.813,0.540,39.146,-13.354,-18.537
1685473370833,2023-05-30T22:02:50.833,0.560,35.122,-14.024,-16.220
1685473370853,2023-05-30T22:02:50.853,0.580,30.000,-8.232,-12.439
1685473370873,2023-05-30T22:02:50.873,0.600,24.085,-2.500,-6.646
1685473370893,2023-05-30T22:02:50.893,0.620,17.256,-0.183,-1.707
1685473370913,2023-05-30T22:02:50.913,0.640,8.902,2.256,1.159
1685473370933,2023-05-30T22:02:50.933,0.660,-0.244,3.963,3.659
1685473370953,2023-05-30T22:02:50.953,0.680,-9.573,3.720,5.610
1685473370973,2023-05-30T22:02:50.973,0.700,-18.110,5.610,7.744
1685473370993,2023-05-30T22:02:50.993,0.720,-24.390,11.463,10.122
1685473371013,2023-05-30T22:02:51.013,0.740,-30.122,16.159,12.073
1685473371033,2023-05-30T22:02:51.033,0.760,-33.598,18.841,13.902
1685473371053,2023-05-30T22:02:51.053,0.780,-35.671,20.305,14.512
1685473371073,2023-05-30T22:02:51.073,0.800,-37.744,21.280,14.329
1685473371093,2023-05-30T22:02:51.093,0.820,-39.451,21.341,13.902
1685473371113,2023-05-30T22:02:51.113,0.840,-40.122,23.841,12.744
1685473371133,2023-05-30T22:02:51.133,0.860,-40.061,27.866,11.402
1685473371153,2023-05-30T22:02:51.153,0.880,-40.976,27.256,10.671
1685473371173,2023-05-30T22:02:51.173,0.900,-42.317,25.244,9.817
1685473371193,2023-05-30T22:02:51.193,0.920,-42.561,25.915,8.232
1685473371213,2023-05-30T22:02:51.213,0.940,-42.622,28.232,6.768
1685473371233,2023-05-30T22:02:51.233,0.960,-42.561,27.744,5.915
1685473371253,2023-05-30T22:02:51.253,0.980,-42.378,26.402,4.634
1685473371273,2023-05-30T22:02:51.273,1.000,-41.524,27.012,2.866
