epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685473890065,2023-05-30T22:11:30.065,0.000,-11.768,1.951,2.134
1685473890085,2023-05-30T22:11:30.085,0.020,-11.951,2.378,2.378
1685473890105,2023-05-30T22:11:30.105,0.040,-11.707,4.085,3.171
1685473890125,2023-05-30T22:11:30.125,0.060,-11.098,4.878,4.329
1685473890145,2023-05-30T22:11:30.145,0.080,-10.488,4.634,5.488
1685473890165,2023-05-30T22:11:30.165,0.100,-10.305,3.232,6.159
1685473890185,2023-05-30T22:11:30.185,0.120,-10.122,3.354,6.646
1685473890205,2023-05-30T22:11:30.205,0.140,-10.000,6.098,5.976
1685473890225,2023-05-30T22:11:30.225,0.160,-9.451,8.415,4.573
1685473890245,2023-05-30T22:11:30.245,0.180,-8.720,8.110,3.171
1685473890265,2023-05-30T22:11:30.265,0.200,-7.378,7.805,2.012
1685473890285,2023-05-30T22:11:30.285,0.220,-4.817,7.988,0.305
1685473890305,2023-05-30T22:11:30.305,0.240,-2.195,9.939,-2.256
1685473890325,2023-05-30T22:11:30.325,0.260,-0.671,13.963,-5.122
1685473890345,2023-05-30T22:11:30.345,0.280,0.793,15.488,-7.012
1685473890365,2023-05-30T22:11:30.365,0.300,3.171,14.085,-8.902
1685473890385,2023-05-30T22:11:30.385,0.320,6.037,12.378,-11.037
1685473890405,2023-05-30T22:11:30.405,0.340,9.207,10.732,-12.805
1685473890425,2023-05-30T22:11:30.425,0.360,12.134,10.122,-13.841
1685473890445,2023-05-30T22:11:30.445,0.380,15.061,11.220,-13.780
1685473890465,2023-05-30T22:11:30.465,0.400,17.805,10.915,-13.110
1685473890485,2023-05-30T22:11:30.485,0.420,20.183,11.220,-12.927
1685473890505,2023-05-30T22:11:30.505,0.440,22.195,10.305,-12.988
1685473890525,2023-05-30T22:11:30.525,0.460,24.085,6.585,-12.927
1685473890545,2023-05-30T22:11:30.545,0.480,25.061,4.634,-13.902
1685473890565,2023-05-30T22:11:30.565,0.500,25.671,4.146,-15.549
1685473890585,2023-05-30T22:11:30.585,0.520,26.159,4.329,-17.134
1685473890605,2023-05-30T22:11:30.605,0.540,26.280,6.524,-18.598
1685473890625,2023-05-30T22:11:30.625,0.560,26.402,4.207,-19.329
1685473890645,2023-05-30T22:11:30.645,0.580,26.768,-1.768,-19.634
1685473890665,2023-05-30T22:11:30.665,0.600,27.622,-5.854,-19.451
1685473890685,2023-05-30T22:11:30.685,0.620,28.354,-8.720,-18.963
1685473890705,2023-05-30T22:11:30.705,0.640,28.537,-10.305,-18.841
1685473890725,2023-05-30T22:11:30.725,0.660,29.085,-8.780,-18.110
1685473890745,2023-05-30T22:11:30.745,0.680,30.061,-6.646,-16.646
1685473890765,2023-05-30T22:11:30.765,0.700,30.366,-6.707,-15.549
1685473890785,2023-05-30T22:11:30.785,0.720,29.024,-8.232,-15.549
1685473890805,2023-05-30T22:11:30.805,0.740,27.256,-8.659,-15.549
1685473890825,2023-05-30T22:11:30.825,0.760,25.671,-9.268,-15.549
1685473890845,2023-05-30T22:11:30.845,0.780,23.598,-11.280,-15.610
1685473890865,2023-05-30T22:11:30.865,0.800,21.220,-14.939,-14.573
1685473890885,2023-05-30T22:11:30.885,0.820,18.049,-15.854,-13.110
1685473890905,2023-05-30T22:11:30.905,0.840,14.634,-10.427,-10.610
1685473890925,2023-05-30T22:11:30.925,0.860,11.159,-5.366,-7.500
1685473890945,2023-05-30T22:11:30.945,0.880,7.988,-4.390,-5.183
1685473890965,2023-05-30T22:11:30.965,0.900,5.488,-2.988,-3.232
1685473890985,2023-05-30T22:11:30.985,0.920,2.805,-1.646,-1.098
1685473891005,2023-05-30T22:11:31.005,0.940,0.183,-1.829,0.793
1685473891025,2023-05-30T22:11:31.025,0.960,-2.012,0.244,2.195
1685473891045,2023-05-30T22:11:31.045,0.980,-4.390,3.780,3.415
1685473891065,2023-05-30T22:11:31.065,1.000,-6.524,5.671,4.329
1685473891085,2023-05-30T22:11:31.085,1.020,-7.866,6.280,5.610
1685473891105,2023-05-30T22:11:31.105,1.040,-9.512,6.768,7.561
1685473891125,2023-05-30T22:11:31.125,1.060,-12.622,8.415,8.780
1685473891145,2023-05-30T22:11:31.145,1.080,-16.402,10.122,9.756
1685473891165,2023-05-30T22:11:31.165,1.100,-20.183,10.915,10.915
1685473891185,2023-05-30T22:11:31.185,1.120,-23.354,11.768,12.073
1685473891205,2023-05-30T22:11:31.205,1.140,-25.366,12.073,13.293
1685473891225,2023-05-30T22:11:31.225,1.160,-25.793,13.476,14.207
1685473891245,2023-05-30T22:11:31.245,1.180,-25.183,16.402,15.061
1685473891265,2023-05-30T22:11:31.265,1.200,-26.707,20.854,13.659
1685473891285,2023-05-30T22:11:31.285,1.220,-31.463,23.537,11.829
1685473891305,2023-05-30T22:11:31.305,1.240,-37.683,23.232,11.098
1685473891325,2023-05-30T22:11:31.325,1.260,-41.646,22.500,9.878
1685473891345,2023-05-30T22:11:31.345,1.280,-43.476,21.341,8.049
1685473891365,2023-05-30T22:11:31.365,1.300,-45.000,22.500,5.488
1685473891385,2023-05-30T22:11:31.385,1.320,-46.524,22.561,3.841
1685473891405,2023-05-30T22:11:31.405,1.340,-47.805,20.244,2.073
1685473891425,2023-05-30T22:11:31.425,1.360,-47.866,19.329,-0.061
1685473891445,2023-05-30T22:11:31.445,1.380,-47.744,18.415,-1.341
1685473891465,2023-05-30T22:11:31.465,1.400,-47.439,16.280,-2.622
1685473891485,2023-05-30T22:11:31.485,1.420,-46.646,16.951,-3.476
1685473891505,2023-05-30T22:11:31.505,1.440,-45.610,20.488,-4.573
1685473891525,2023-05-30T22:11:31.525,1.460,-44.085,21.159,-5.244
1685473891545,2023-05-30T22:11:31.545,1.480,-42.012,21.280,-5.793
1685473891565,2023-05-30T22:11:31.565,1.500,-40.305,23.476,-7.073
1685473891585,2023-05-30T22:11:31.585,1.520,-39.085,24.146,-9.024
1685473891605,2023-05-30T22:11:31.605,1.540,-36.037,22.622,-10.793
1685473891625,2023-05-30T22:11:31.625,1.560,-31.829,20.305,-12.866
