epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685195971702,2023-05-27T16:59:31.702,0.000,1.159,-1.341,0.244
1685195971722,2023-05-27T16:59:31.722,0.020,0.915,-1.159,0.610
1685195971742,2023-05-27T16:59:31.742,0.040,1.463,-0.610,0.427
1685195971762,2023-05-27T16:59:31.762,0.060,2.134,0.976,0.671
1685195971782,2023-05-27T16:59:31.782,0.080,1.707,0.610,0.732
1685195971802,2023-05-27T16:59:31.802,0.100,1.098,-0.488,0.610
1685195971822,2023-05-27T16:59:31.822,0.120,0.610,-0.549,0.671
1685195971842,2023-05-27T16:59:31.842,0.140,0.305,-0.915,1.220
1685195971862,2023-05-27T16:59:31.862,0.160,0.732,-0.549,1.829
1685195971882,2023-05-27T16:59:31.882,0.180,1.585,-0.488,2.683
1685195971902,2023-05-27T16:59:31.902,0.200,3.232,-0.122,4.085
1685195971922,2023-05-27T16:59:31.922,0.220,4.695,6.524,6.402
1685195971942,2023-05-27T16:59:31.942,0.240,9.756,19.451,9.024
1685195971962,2023-05-27T16:59:31.962,0.260,14.634,26.707,11.646
1685195971982,2023-05-27T16:59:31.982,0.280,17.012,25.488,13.780
1685195972002,2023-05-27T16:59:32.002,0.300,19.512,22.622,15.366
1685195972022,2023-05-27T16:59:32.022,0.320,22.134,22.805,16.707
1685195972042,2023-05-27T16:59:32.042,0.340,23.476,25.366,16.707
1685195972062,2023-05-27T16:59:32.062,0.360,25.671,27.256,17.439
1685195972082,2023-05-27T16:59:32.082,0.380,28.232,28.598,18.780
1685195972102,2023-05-27T16:59:32.102,0.400,31.463,30.183,19.146
1685195972122,2023-05-27T16:59:32.122,0.420,36.098,28.841,19.146
1685195972142,2023-05-27T16:59:32.142,0.440,40.122,25.610,17.927
1685195972162,2023-05-27T16:59:32.162,0.460,41.829,13.476,16.402
1685195972182,2023-05-27T16:59:32.182,0.480,41.646,-7.866,12.622
1685195972202,2023-05-27T16:59:32.202,0.500,43.476,-22.012,7.866
1685195972222,2023-05-27T16:59:32.222,0.520,48.780,-31.098,1.707
1685195972242,2023-05-27T16:59:32.242,0.540,52.195,-31.159,-6.220
1685195972262,2023-05-27T16:59:32.262,0.560,54.268,-27.256,-12.744
1685195972282,2023-05-27T16:59:32.282,0.580,51.402,-30.183,-21.646
1685195972302,2023-05-27T16:59:32.302,0.600,46.524,-29.939,-32.805
