epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685374634068,2023-05-29T18:37:14.068,0.000,-1.159,0.366,-2.500
1685374634088,2023-05-29T18:37:14.088,0.020,-1.402,0.122,-2.561
1685374634108,2023-05-29T18:37:14.108,0.040,-1.829,0.183,-2.256
1685374634128,2023-05-29T18:37:14.128,0.060,-1.951,0.366,-1.768
1685374634148,2023-05-29T18:37:14.148,0.080,-2.012,0.427,-1.646
1685374634168,2023-05-29T18:37:14.168,0.100,-2.195,-0.244,-1.159
1685374634188,2023-05-29T18:37:14.188,0.120,-2.378,-0.305,-0.549
1685374634208,2023-05-29T18:37:14.208,0.140,-2.561,0.915,-0.122
1685374634228,2023-05-29T18:37:14.228,0.160,-3.110,-0.061,0.427
1685374634248,2023-05-29T18:37:14.248,0.180,-3.415,-2.317,0.915
1685374634268,2023-05-29T18:37:14.268,0.200,-3.659,-2.195,1.585
1685374634288,2023-05-29T18:37:14.288,0.220,-3.537,-1.646,3.110
1685374634308,2023-05-29T18:37:14.308,0.240,-2.073,-1.220,6.646
1685374634328,2023-05-29T18:37:14.328,0.260,0.366,5.244,12.256
1685374634348,2023-05-29T18:37:14.348,0.280,3.354,15.793,18.232
1685374634368,2023-05-29T18:37:14.368,0.300,6.220,24.451,23.659
1685374634388,2023-05-29T18:37:14.388,0.320,9.329,29.756,27.500
1685374634408,2023-05-29T18:37:14.408,0.340,11.707,27.378,31.890
1685374634428,2023-05-29T18:37:14.428,0.360,13.963,17.256,36.829
1685374634448,2023-05-29T18:37:14.448,0.380,16.829,6.646,40.366
1685374634468,2023-05-29T18:37:14.468,0.400,20.854,2.866,43.720
1685374634488,2023-05-29T18:37:14.488,0.420,25.061,5.427,46.402
1685374634508,2023-05-29T18:37:14.508,0.440,29.695,8.537,48.110
1685374634528,2023-05-29T18:37:14.528,0.460,34.390,9.878,48.780
1685374634548,2023-05-29T18:37:14.548,0.480,38.841,9.268,47.134
1685374634568,2023-05-29T18:37:14.568,0.500,42.134,7.317,42.866
1685374634588,2023-05-29T18:37:14.588,0.520,44.939,11.646,36.037
1685374634608,2023-05-29T18:37:14.608,0.540,47.073,18.780,27.744
1685374634628,2023-05-29T18:37:14.628,0.560,47.744,29.268,19.451
1685374634648,2023-05-29T18:37:14.648,0.580,47.622,41.037,9.329
1685374634668,2023-05-29T18:37:14.668,0.600,47.744,44.390,-1.341
1685374634688,2023-05-29T18:37:14.688,0.620,46.951,33.476,-11.524
1685374634708,2023-05-29T18:37:14.708,0.640,45.244,21.707,-21.707
1685374634728,2023-05-29T18:37:14.728,0.660,41.951,20.061,-32.927
1685374634748,2023-05-29T18:37:14.748,0.680,36.646,25.915,-43.171
1685374634768,2023-05-29T18:37:14.768,0.700,30.549,27.988,-52.256
1685374634788,2023-05-29T18:37:14.788,0.720,22.683,23.476,-60.732
1685374634808,2023-05-29T18:37:14.808,0.740,13.415,18.659,-66.646
1685374634828,2023-05-29T18:37:14.828,0.760,2.805,19.024,-68.476
1685374634848,2023-05-29T18:37:14.848,0.780,-9.085,26.402,-67.866
