epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685394066000,2023-05-30T00:01:06.000,0.000,-15.366,0.976,-10.610
1685394066020,2023-05-30T00:01:06.020,0.020,-15.305,0.732,-10.305
1685394066040,2023-05-30T00:01:06.040,0.040,-12.988,1.280,-9.207
1685394066060,2023-05-30T00:01:06.060,0.060,-10.854,3.598,-8.963
1685394066080,2023-05-30T00:01:06.080,0.080,-9.024,6.402,-9.024
1685394066100,2023-05-30T00:01:06.100,0.100,-7.683,6.829,-8.049
1685394066120,2023-05-30T00:01:06.120,0.120,-7.622,7.317,-6.098
1685394066140,2023-05-30T00:01:06.140,0.140,-7.683,10.549,-3.537
1685394066160,2023-05-30T00:01:06.160,0.160,-6.768,13.841,-0.671
1685394066180,2023-05-30T00:01:06.180,0.180,-4.695,15.061,2.256
1685394066200,2023-05-30T00:01:06.200,0.200,-1.951,14.817,5.671
1685394066220,2023-05-30T00:01:06.220,0.220,1.037,15.976,8.293
1685394066240,2023-05-30T00:01:06.240,0.240,4.634,18.049,10.854
1685394066260,2023-05-30T00:01:06.260,0.260,7.683,16.646,14.390
1685394066280,2023-05-30T00:01:06.280,0.280,9.451,15.488,17.317
1685394066300,2023-05-30T00:01:06.300,0.300,11.707,17.805,19.024
1685394066320,2023-05-30T00:01:06.320,0.320,15.732,21.402,20.976
1685394066340,2023-05-30T00:01:06.340,0.340,21.402,28.659,22.744
1685394066360,2023-05-30T00:01:06.360,0.360,24.207,37.256,24.573
1685394066380,2023-05-30T00:01:06.380,0.380,25.122,37.683,25.549
1685394066400,2023-05-30T00:01:06.400,0.400,25.000,35.244,25.488
1685394066420,2023-05-30T00:01:06.420,0.420,24.268,29.268,26.768
1685394066440,2023-05-30T00:01:06.440,0.440,23.659,21.341,29.146
1685394066460,2023-05-30T00:01:06.460,0.460,22.927,18.049,29.939
1685394066480,2023-05-30T00:01:06.480,0.480,21.951,19.939,28.963
1685394066500,2023-05-30T00:01:06.500,0.500,20.061,18.476,28.354
1685394066520,2023-05-30T00:01:06.520,0.520,19.573,9.695,28.902
1685394066540,2023-05-30T00:01:06.540,0.540,19.451,3.963,28.841
1685394066560,2023-05-30T00:01:06.560,0.560,19.146,1.402,28.110
1685394066580,2023-05-30T00:01:06.580,0.580,18.963,-1.220,27.195
1685394066600,2023-05-30T00:01:06.600,0.600,17.500,-4.085,25.427
1685394066620,2023-05-30T00:01:06.620,0.620,17.805,-7.744,24.085
1685394066640,2023-05-30T00:01:06.640,0.640,20.061,-9.390,24.146
1685394066660,2023-05-30T00:01:06.660,0.660,22.256,-5.732,23.415
1685394066680,2023-05-30T00:01:06.680,0.680,21.646,-2.195,21.707
1685394066700,2023-05-30T00:01:06.700,0.700,20.549,-5.671,20.610
1685394066720,2023-05-30T00:01:06.720,0.720,20.183,-5.305,18.841
1685394066740,2023-05-30T00:01:06.740,0.740,20.427,0.122,16.890
1685394066760,2023-05-30T00:01:06.760,0.760,21.646,2.500,13.963
1685394066780,2023-05-30T00:01:06.780,0.780,21.585,2.561,9.634
1685394066800,2023-05-30T00:01:06.800,0.800,20.427,5.549,4.634
1685394066820,2023-05-30T00:01:06.820,0.820,19.756,9.207,-0.366
1685394066840,2023-05-30T00:01:06.840,0.840,18.171,12.256,-7.439
1685394066860,2023-05-30T00:01:06.860,0.860,15.427,12.561,-14.878
1685394066880,2023-05-30T00:01:06.880,0.880,13.841,12.134,-20.366
