epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685392807779,2023-05-29T23:40:07.779,0.000,-2.805,2.683,-17.927
1685392807799,2023-05-29T23:40:07.799,0.020,-2.378,3.293,-17.805
1685392807819,2023-05-29T23:40:07.819,0.040,-3.354,5.671,-18.476
1685392807839,2023-05-29T23:40:07.839,0.060,-4.268,7.012,-18.963
1685392807859,2023-05-29T23:40:07.859,0.080,-5.183,7.317,-18.293
1685392807879,2023-05-29T23:40:07.879,0.100,-6.646,6.341,-15.915
1685392807899,2023-05-29T23:40:07.899,0.120,-7.134,6.890,-12.683
1685392807919,2023-05-29T23:40:07.919,0.140,-7.439,10.427,-9.512
1685392807939,2023-05-29T23:40:07.939,0.160,-8.110,11.463,-5.244
1685392807959,2023-05-29T23:40:07.959,0.180,-8.415,8.902,-0.854
1685392807979,2023-05-29T23:40:07.979,0.200,-8.476,6.098,4.024
1685392807999,2023-05-29T23:40:07.999,0.220,-8.232,3.537,9.512
1685392808019,2023-05-29T23:40:08.019,0.240,-8.415,3.232,14.329
1685392808039,2023-05-29T23:40:08.039,0.260,-8.476,1.646,17.927
1685392808059,2023-05-29T23:40:08.059,0.280,-8.171,-2.317,20.976
1685392808079,2023-05-29T23:40:08.079,0.300,-7.683,-2.561,23.232
1685392808099,2023-05-29T23:40:08.099,0.320,-6.463,-0.915,25.305
1685392808119,2023-05-29T23:40:08.119,0.340,-4.512,-3.110,27.805
1685392808139,2023-05-29T23:40:08.139,0.360,-2.622,-5.427,30.671
1685392808159,2023-05-29T23:40:08.159,0.380,-0.732,-5.671,33.659
1685392808179,2023-05-29T23:40:08.179,0.400,2.195,-4.146,35.793
1685392808199,2023-05-29T23:40:08.199,0.420,5.610,-1.341,37.378
1685392808219,2023-05-29T23:40:08.219,0.440,8.659,-1.402,39.573
1685392808239,2023-05-29T23:40:08.239,0.460,11.280,-1.524,40.732
1685392808259,2023-05-29T23:40:08.259,0.480,13.171,-1.037,39.451
1685392808279,2023-05-29T23:40:08.279,0.500,14.573,-1.402,38.049
1685392808299,2023-05-29T23:40:08.299,0.520,15.549,-1.098,37.500
1685392808319,2023-05-29T23:40:08.319,0.540,16.829,-2.988,36.220
1685392808339,2023-05-29T23:40:08.339,0.560,17.561,-4.024,32.927
1685392808359,2023-05-29T23:40:08.359,0.580,19.329,-4.512,29.207
1685392808379,2023-05-29T23:40:08.379,0.600,21.707,-5.915,25.915
1685392808399,2023-05-29T23:40:08.399,0.620,23.963,-8.720,21.463
1685392808419,2023-05-29T23:40:08.419,0.640,25.183,-9.878,15.488
1685392808439,2023-05-29T23:40:08.439,0.660,25.915,-8.171,9.756
1685392808459,2023-05-29T23:40:08.459,0.680,27.012,-7.317,4.207
1685392808479,2023-05-29T23:40:08.479,0.700,27.683,-4.634,-2.622
1685392808499,2023-05-29T23:40:08.499,0.720,26.768,-1.524,-9.024
1685392808519,2023-05-29T23:40:08.519,0.740,26.951,-2.805,-14.390
1685392808539,2023-05-29T23:40:08.539,0.760,27.866,-0.793,-18.963
1685392808559,2023-05-29T23:40:08.559,0.780,27.988,1.890,-24.512
1685392808579,2023-05-29T23:40:08.579,0.800,27.439,3.354,-30.183
1685392808599,2023-05-29T23:40:08.599,0.820,26.646,4.512,-35.549
1685392808619,2023-05-29T23:40:08.619,0.840,25.976,7.622,-40.610
1685392808639,2023-05-29T23:40:08.639,0.860,25.122,9.329,-44.451
1685392808659,2023-05-29T23:40:08.659,0.880,23.780,9.817,-47.134
1685392808679,2023-05-29T23:40:08.679,0.900,21.037,10.732,-48.232
1685392808699,2023-05-29T23:40:08.699,0.920,17.073,11.890,-48.110
1685392808719,2023-05-29T23:40:08.719,0.940,13.293,12.744,-45.793
1685392808739,2023-05-29T23:40:08.739,0.960,8.659,11.280,-41.646
1685392808759,2023-05-29T23:40:08.759,0.980,4.390,10.488,-35.976
1685392808779,2023-05-29T23:40:08.779,1.000,0.671,11.098,-29.512
1685392808799,2023-05-29T23:40:08.799,1.020,-2.134,9.512,-22.744
1685392808819,2023-05-29T23:40:08.819,1.040,-4.390,8.720,-15.854
1685392808839,2023-05-29T23:40:08.839,1.060,-6.280,6.768,-9.451
1685392808859,2023-05-29T23:40:08.859,1.080,-7.500,5.793,-5.000
1685392808879,2023-05-29T23:40:08.879,1.100,-8.598,5.427,-2.073
1685392808899,2023-05-29T23:40:08.899,1.120,-8.841,2.073,0.915
1685392808919,2023-05-29T23:40:08.919,1.140,-8.232,-3.232,3.902
1685392808939,2023-05-29T23:40:08.939,1.160,-8.171,-5.183,5.366
1685392808959,2023-05-29T23:40:08.959,1.180,-9.024,-6.890,6.098
1685392808979,2023-05-29T23:40:08.979,1.200,-10.183,-8.963,7.805
1685392808999,2023-05-29T23:40:08.999,1.220,-11.646,-10.976,10.549
1685392809019,2023-05-29T23:40:09.019,1.240,-12.622,-12.622,14.085
1685392809039,2023-05-29T23:40:09.039,1.260,-12.134,-11.707,18.476
1685392809059,2023-05-29T23:40:09.059,1.280,-10.122,-12.195,25.122
1685392809079,2023-05-29T23:40:09.079,1.300,-7.439,-13.780,32.683
1685392809099,2023-05-29T23:40:09.099,1.320,-6.159,-11.585,39.756
1685392809119,2023-05-29T23:40:09.119,1.340,-5.427,-10.122,45.366
1685392809139,2023-05-29T23:40:09.139,1.360,-3.293,-11.585,49.573
