epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685473890087,2023-05-30T22:11:30.087,0.000,0.029,-0.729,0.698
1685473890107,2023-05-30T22:11:30.107,0.020,0.016,-0.734,0.691
1685473890127,2023-05-30T22:11:30.127,0.040,0.012,-0.730,0.679
1685473890147,2023-05-30T22:11:30.147,0.060,0.007,-0.718,0.679
1685473890167,2023-05-30T22:11:30.167,0.080,0.002,-0.709,0.673
1685473890187,2023-05-30T22:11:30.187,0.100,-0.000,-0.700,0.664
1685473890207,2023-05-30T22:11:30.207,0.120,-0.013,-0.692,0.658
1685473890227,2023-05-30T22:11:30.227,0.140,-0.040,-0.687,0.646
1685473890247,2023-05-30T22:11:30.247,0.160,-0.052,-0.678,0.632
1685473890267,2023-05-30T22:11:30.267,0.180,-0.062,-0.665,0.625
1685473890287,2023-05-30T22:11:30.287,0.200,-0.067,-0.654,0.626
1685473890307,2023-05-30T22:11:30.307,0.220,-0.069,-0.656,0.616
1685473890327,2023-05-30T22:11:30.327,0.240,-0.076,-0.668,0.609
1685473890347,2023-05-30T22:11:30.347,0.260,-0.077,-0.681,0.606
1685473890367,2023-05-30T22:11:30.367,0.280,-0.068,-0.689,0.604
1685473890387,2023-05-30T22:11:30.387,0.300,-0.063,-0.697,0.607
1685473890407,2023-05-30T22:11:30.407,0.320,-0.048,-0.689,0.605
1685473890427,2023-05-30T22:11:30.427,0.340,-0.026,-0.689,0.606
1685473890447,2023-05-30T22:11:30.447,0.360,-0.026,-0.695,0.606
1685473890467,2023-05-30T22:11:30.467,0.380,-0.015,-0.687,0.604
1685473890487,2023-05-30T22:11:30.487,0.400,-0.013,-0.680,0.612
1685473890507,2023-05-30T22:11:30.507,0.420,-0.034,-0.686,0.626
1685473890527,2023-05-30T22:11:30.527,0.440,-0.038,-0.689,0.645
1685473890547,2023-05-30T22:11:30.547,0.460,-0.032,-0.689,0.658
1685473890567,2023-05-30T22:11:30.567,0.480,-0.029,-0.685,0.671
1685473890587,2023-05-30T22:11:30.587,0.500,-0.017,-0.680,0.684
1685473890607,2023-05-30T22:11:30.607,0.520,-0.022,-0.685,0.694
1685473890627,2023-05-30T22:11:30.627,0.540,-0.030,-0.689,0.701
1685473890647,2023-05-30T22:11:30.647,0.560,-0.011,-0.678,0.704
1685473890667,2023-05-30T22:11:30.667,0.580,0.001,-0.669,0.708
1685473890687,2023-05-30T22:11:30.687,0.600,0.020,-0.658,0.712
1685473890707,2023-05-30T22:11:30.707,0.620,0.032,-0.666,0.720
1685473890727,2023-05-30T22:11:30.727,0.640,0.043,-0.665,0.742
1685473890747,2023-05-30T22:11:30.747,0.660,0.043,-0.650,0.759
1685473890767,2023-05-30T22:11:30.767,0.680,0.039,-0.645,0.774
1685473890787,2023-05-30T22:11:30.787,0.700,0.041,-0.652,0.788
1685473890807,2023-05-30T22:11:30.807,0.720,0.042,-0.653,0.807
1685473890827,2023-05-30T22:11:30.827,0.740,0.050,-0.646,0.825
1685473890847,2023-05-30T22:11:30.847,0.760,0.050,-0.666,0.840
1685473890867,2023-05-30T22:11:30.867,0.780,0.063,-0.673,0.860
1685473890887,2023-05-30T22:11:30.887,0.800,0.086,-0.679,0.880
1685473890907,2023-05-30T22:11:30.907,0.820,0.101,-0.680,0.896
1685473890927,2023-05-30T22:11:30.927,0.840,0.096,-0.668,0.904
1685473890947,2023-05-30T22:11:30.947,0.860,0.095,-0.664,0.906
1685473890967,2023-05-30T22:11:30.967,0.880,0.093,-0.662,0.893
1685473890987,2023-05-30T22:11:30.987,0.900,0.083,-0.659,0.883
1685473891007,2023-05-30T22:11:31.007,0.920,0.083,-0.650,0.885
1685473891027,2023-05-30T22:11:31.027,0.940,0.084,-0.643,0.876
1685473891047,2023-05-30T22:11:31.047,0.960,0.077,-0.643,0.862
1685473891067,2023-05-30T22:11:31.067,0.980,0.073,-0.663,0.865
1685473891087,2023-05-30T22:11:31.087,1.000,0.065,-0.679,0.865
1685473891107,2023-05-30T22:11:31.107,1.020,0.067,-0.680,0.873
1685473891127,2023-05-30T22:11:31.127,1.040,0.065,-0.682,0.883
1685473891147,2023-05-30T22:11:31.147,1.060,0.063,-0.676,0.889
1685473891167,2023-05-30T22:11:31.167,1.080,0.058,-0.672,0.888
1685473891187,2023-05-30T22:11:31.187,1.100,0.052,-0.676,0.868
1685473891207,2023-05-30T22:11:31.207,1.120,0.047,-0.670,0.849
1685473891227,2023-05-30T22:11:31.227,1.140,0.037,-0.669,0.836
1685473891247,2023-05-30T22:11:31.247,1.160,0.027,-0.660,0.836
1685473891267,2023-05-30T22:11:31.267,1.180,0.010,-0.659,0.833
1685473891287,2023-05-30T22:11:31.287,1.200,-0.012,-0.654,0.833
1685473891307,2023-05-30T22:11:31.307,1.220,-0.016,-0.649,0.825
1685473891327,2023-05-30T22:11:31.327,1.240,-0.040,-0.655,0.799
1685473891347,2023-05-30T22:11:31.347,1.260,-0.043,-0.658,0.769
1685473891367,2023-05-30T22:11:31.367,1.280,-0.059,-0.651,0.742
1685473891387,2023-05-30T22:11:31.387,1.300,-0.078,-0.647,0.726
1685473891407,2023-05-30T22:11:31.407,1.320,-0.072,-0.654,0.706
1685473891427,2023-05-30T22:11:31.427,1.340,-0.074,-0.656,0.678
1685473891447,2023-05-30T22:11:31.447,1.360,-0.074,-0.649,0.661
1685473891467,2023-05-30T22:11:31.467,1.380,-0.072,-0.643,0.648
1685473891487,2023-05-30T22:11:31.487,1.400,-0.063,-0.646,0.633
1685473891507,2023-05-30T22:11:31.507,1.420,-0.073,-0.658,0.619
1685473891527,2023-05-30T22:11:31.527,1.440,-0.086,-0.659,0.597
1685473891547,2023-05-30T22:11:31.547,1.460,-0.085,-0.658,0.576
1685473891567,2023-05-30T22:11:31.567,1.480,-0.090,-0.650,0.554
1685473891587,2023-05-30T22:11:31.587,1.500,-0.101,-0.662,0.531
1685473891607,2023-05-30T22:11:31.607,1.520,-0.102,-0.671,0.516
1685473891627,2023-05-30T22:11:31.627,1.540,-0.100,-0.670,0.490
1685473891647,2023-05-30T22:11:31.647,1.560,-0.101,-0.686,0.470
1685473891667,2023-05-30T22:11:31.667,1.580,-0.087,-0.703,0.450
1685473891687,2023-05-30T22:11:31.687,1.600,-0.084,-0.716,0.434
1685473891707,2023-05-30T22:11:31.707,1.620,-0.069,-0.731,0.433
1685473891727,2023-05-30T22:11:31.727,1.640,-0.046,-0.750,0.433
1685473891747,2023-05-30T22:11:31.747,1.660,-0.031,-0.768,0.418
1685473891767,2023-05-30T22:11:31.767,1.680,0.000,-0.767,0.411
1685473891787,2023-05-30T22:11:31.787,1.700,0.016,-0.779,0.406
1685473891807,2023-05-30T22:11:31.807,1.720,0.040,-0.789,0.408
1685473891827,2023-05-30T22:11:31.827,1.740,0.042,-0.774,0.423
1685473891847,2023-05-30T22:11:31.847,1.760,0.037,-0.763,0.437
1685473891867,2023-05-30T22:11:31.867,1.780,0.041,-0.776,0.448
1685473891887,2023-05-30T22:11:31.887,1.800,0.023,-0.773,0.460
1685473891907,2023-05-30T22:11:31.907,1.820,0.026,-0.776,0.485
1685473891927,2023-05-30T22:11:31.927,1.840,0.028,-0.771,0.502
1685473891947,2023-05-30T22:11:31.947,1.860,0.021,-0.755,0.515
1685473891967,2023-05-30T22:11:31.967,1.880,0.038,-0.754,0.526
1685473891987,2023-05-30T22:11:31.987,1.900,0.056,-0.763,0.543
1685473892007,2023-05-30T22:11:32.007,1.920,0.072,-0.757,0.566
1685473892027,2023-05-30T22:11:32.027,1.940,0.077,-0.728,0.595
1685473892047,2023-05-30T22:11:32.047,1.960,0.071,-0.703,0.617
1685473892067,2023-05-30T22:11:32.067,1.980,0.066,-0.692,0.627
1685473892087,2023-05-30T22:11:32.087,2.000,0.087,-0.675,0.646
1685473892107,2023-05-30T22:11:32.107,2.020,0.108,-0.661,0.665
1685473892127,2023-05-30T22:11:32.127,2.040,0.083,-0.642,0.675
1685473892147,2023-05-30T22:11:32.147,2.060,0.056,-0.645,0.716
1685473892167,2023-05-30T22:11:32.167,2.080,0.061,-0.661,0.760
1685473892187,2023-05-30T22:11:32.187,2.100,0.059,-0.671,0.792
1685473892207,2023-05-30T22:11:32.207,2.120,0.075,-0.699,0.836
1685473892227,2023-05-30T22:11:32.227,2.140,0.101,-0.733,0.890
1685473892247,2023-05-30T22:11:32.247,2.160,0.110,-0.739,0.925
1685473892267,2023-05-30T22:11:32.267,2.180,0.129,-0.735,0.947
