epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685473039456,2023-05-30T21:57:19.456,0.000,-0.097,-0.764,0.619
1685473039476,2023-05-30T21:57:19.476,0.020,-0.100,-0.772,0.633
1685473039496,2023-05-30T21:57:19.496,0.040,-0.119,-0.757,0.615
1685473039516,2023-05-30T21:57:19.516,0.060,-0.122,-0.750,0.610
1685473039536,2023-05-30T21:57:19.536,0.080,-0.125,-0.738,0.602
1685473039556,2023-05-30T21:57:19.556,0.100,-0.125,-0.728,0.582
1685473039576,2023-05-30T21:57:19.576,0.120,-0.113,-0.716,0.568
1685473039596,2023-05-30T21:57:19.596,0.140,-0.081,-0.713,0.578
1685473039616,2023-05-30T21:57:19.616,0.160,-0.091,-0.710,0.578
1685473039636,2023-05-30T21:57:19.636,0.180,-0.083,-0.726,0.566
1685473039656,2023-05-30T21:57:19.656,0.200,-0.079,-0.726,0.542
1685473039676,2023-05-30T21:57:19.676,0.220,-0.082,-0.712,0.512
1685473039696,2023-05-30T21:57:19.696,0.240,-0.085,-0.707,0.483
1685473039716,2023-05-30T21:57:19.716,0.260,-0.090,-0.710,0.481
1685473039736,2023-05-30T21:57:19.736,0.280,-0.089,-0.725,0.496
1685473039756,2023-05-30T21:57:19.756,0.300,-0.112,-0.720,0.503
1685473039776,2023-05-30T21:57:19.776,0.320,-0.126,-0.700,0.518
1685473039796,2023-05-30T21:57:19.796,0.340,-0.140,-0.689,0.534
1685473039816,2023-05-30T21:57:19.816,0.360,-0.144,-0.695,0.555
1685473039836,2023-05-30T21:57:19.836,0.380,-0.139,-0.699,0.586
1685473039856,2023-05-30T21:57:19.856,0.400,-0.142,-0.704,0.600
1685473039876,2023-05-30T21:57:19.876,0.420,-0.121,-0.715,0.613
1685473039896,2023-05-30T21:57:19.896,0.440,-0.120,-0.711,0.627
1685473039916,2023-05-30T21:57:19.916,0.460,-0.132,-0.706,0.645
1685473039936,2023-05-30T21:57:19.936,0.480,-0.134,-0.714,0.676
