epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685389930684,2023-05-29T22:52:10.684,0.000,-0.372,-0.718,0.516
1685389930704,2023-05-29T22:52:10.704,0.020,-0.369,-0.721,0.504
1685389930724,2023-05-29T22:52:10.724,0.040,-0.367,-0.725,0.488
1685389930744,2023-05-29T22:52:10.744,0.060,-0.373,-0.720,0.472
1685389930764,2023-05-29T22:52:10.764,0.080,-0.395,-0.708,0.458
1685389930784,2023-05-29T22:52:10.784,0.100,-0.382,-0.700,0.448
1685389930804,2023-05-29T22:52:10.804,0.120,-0.379,-0.688,0.455
1685389930824,2023-05-29T22:52:10.824,0.140,-0.401,-0.682,0.463
1685389930844,2023-05-29T22:52:10.844,0.160,-0.427,-0.692,0.483
1685389930864,2023-05-29T22:52:10.864,0.180,-0.438,-0.699,0.503
1685389930884,2023-05-29T22:52:10.884,0.200,-0.441,-0.693,0.516
1685389930904,2023-05-29T22:52:10.904,0.220,-0.461,-0.688,0.517
1685389930924,2023-05-29T22:52:10.924,0.240,-0.470,-0.689,0.510
1685389930944,2023-05-29T22:52:10.944,0.260,-0.450,-0.683,0.503
1685389930964,2023-05-29T22:52:10.964,0.280,-0.422,-0.683,0.511
1685389930984,2023-05-29T22:52:10.984,0.300,-0.396,-0.688,0.506
1685389931004,2023-05-29T22:52:11.004,0.320,-0.407,-0.703,0.479
1685389931024,2023-05-29T22:52:11.024,0.340,-0.410,-0.696,0.472
1685389931044,2023-05-29T22:52:11.044,0.360,-0.391,-0.691,0.471
1685389931064,2023-05-29T22:52:11.064,0.380,-0.373,-0.700,0.479
1685389931084,2023-05-29T22:52:11.084,0.400,-0.375,-0.718,0.486
1685389931104,2023-05-29T22:52:11.104,0.420,-0.375,-0.718,0.503
1685389931124,2023-05-29T22:52:11.124,0.440,-0.368,-0.696,0.512
1685389931144,2023-05-29T22:52:11.144,0.460,-0.380,-0.698,0.517
1685389931164,2023-05-29T22:52:11.164,0.480,-0.374,-0.704,0.539
1685389931184,2023-05-29T22:52:11.184,0.500,-0.355,-0.706,0.555
1685389931204,2023-05-29T22:52:11.204,0.520,-0.374,-0.718,0.563
1685389931224,2023-05-29T22:52:11.224,0.540,-0.357,-0.698,0.573
1685389931244,2023-05-29T22:52:11.244,0.560,-0.353,-0.686,0.574
1685389931264,2023-05-29T22:52:11.264,0.580,-0.375,-0.700,0.562
1685389931284,2023-05-29T22:52:11.284,0.600,-0.363,-0.708,0.555
1685389931304,2023-05-29T22:52:11.304,0.620,-0.349,-0.713,0.564
1685389931324,2023-05-29T22:52:11.324,0.640,-0.327,-0.704,0.584
1685389931344,2023-05-29T22:52:11.344,0.660,-0.325,-0.712,0.585
1685389931364,2023-05-29T22:52:11.364,0.680,-0.326,-0.716,0.589
1685389931384,2023-05-29T22:52:11.384,0.700,-0.322,-0.699,0.596
1685389931404,2023-05-29T22:52:11.404,0.720,-0.315,-0.700,0.604
1685389931424,2023-05-29T22:52:11.424,0.740,-0.299,-0.708,0.611
1685389931444,2023-05-29T22:52:11.444,0.760,-0.290,-0.706,0.611
1685389931464,2023-05-29T22:52:11.464,0.780,-0.298,-0.718,0.609
1685389931484,2023-05-29T22:52:11.484,0.800,-0.285,-0.726,0.614
1685389931504,2023-05-29T22:52:11.504,0.820,-0.271,-0.735,0.624
1685389931524,2023-05-29T22:52:11.524,0.840,-0.265,-0.741,0.641
1685389931544,2023-05-29T22:52:11.544,0.860,-0.249,-0.743,0.659
1685389931564,2023-05-29T22:52:11.564,0.880,-0.268,-0.742,0.678
1685389931584,2023-05-29T22:52:11.584,0.900,-0.265,-0.745,0.707
1685389931604,2023-05-29T22:52:11.604,0.920,-0.255,-0.737,0.728
1685389931624,2023-05-29T22:52:11.624,0.940,-0.268,-0.735,0.738
1685389931644,2023-05-29T22:52:11.644,0.960,-0.277,-0.745,0.752
1685389931664,2023-05-29T22:52:11.664,0.980,-0.276,-0.736,0.762
1685389931684,2023-05-29T22:52:11.684,1.000,-0.292,-0.725,0.782
1685389931704,2023-05-29T22:52:11.704,1.020,-0.313,-0.715,0.796
1685389931724,2023-05-29T22:52:11.724,1.040,-0.343,-0.698,0.802
1685389931744,2023-05-29T22:52:11.744,1.060,-0.359,-0.678,0.816
1685389931764,2023-05-29T22:52:11.764,1.080,-0.367,-0.659,0.824
1685389931784,2023-05-29T22:52:11.784,1.100,-0.394,-0.648,0.821
1685389931804,2023-05-29T22:52:11.804,1.120,-0.418,-0.633,0.814
1685389931824,2023-05-29T22:52:11.824,1.140,-0.430,-0.618,0.806
1685389931844,2023-05-29T22:52:11.844,1.160,-0.439,-0.612,0.786
1685389931864,2023-05-29T22:52:11.864,1.180,-0.448,-0.605,0.766
1685389931884,2023-05-29T22:52:11.884,1.200,-0.437,-0.594,0.753
1685389931904,2023-05-29T22:52:11.904,1.220,-0.438,-0.584,0.734
1685389931924,2023-05-29T22:52:11.924,1.240,-0.442,-0.578,0.709
1685389931944,2023-05-29T22:52:11.944,1.260,-0.434,-0.574,0.699
1685389931964,2023-05-29T22:52:11.964,1.280,-0.430,-0.578,0.696
1685389931984,2023-05-29T22:52:11.984,1.300,-0.434,-0.576,0.688
1685389932004,2023-05-29T22:52:12.004,1.320,-0.428,-0.581,0.674
1685389932024,2023-05-29T22:52:12.024,1.340,-0.425,-0.588,0.665
1685389932044,2023-05-29T22:52:12.044,1.360,-0.422,-0.594,0.653
1685389932064,2023-05-29T22:52:12.064,1.380,-0.413,-0.601,0.642
1685389932084,2023-05-29T22:52:12.084,1.400,-0.396,-0.605,0.640
1685389932104,2023-05-29T22:52:12.104,1.420,-0.397,-0.609,0.630
1685389932124,2023-05-29T22:52:12.124,1.440,-0.385,-0.624,0.622
1685389932144,2023-05-29T22:52:12.144,1.460,-0.365,-0.646,0.618
1685389932164,2023-05-29T22:52:12.164,1.480,-0.356,-0.658,0.622
1685389932184,2023-05-29T22:52:12.184,1.500,-0.341,-0.661,0.628
1685389932204,2023-05-29T22:52:12.204,1.520,-0.330,-0.674,0.626
1685389932224,2023-05-29T22:52:12.224,1.540,-0.323,-0.703,0.610
1685389932244,2023-05-29T22:52:12.244,1.560,-0.321,-0.745,0.601
1685389932264,2023-05-29T22:52:12.264,1.580,-0.315,-0.770,0.604
1685389932284,2023-05-29T22:52:12.284,1.600,-0.320,-0.778,0.604
1685389932304,2023-05-29T22:52:12.304,1.620,-0.312,-0.787,0.604
1685389932324,2023-05-29T22:52:12.324,1.640,-0.309,-0.795,0.607
1685389932344,2023-05-29T22:52:12.344,1.660,-0.303,-0.799,0.604
1685389932364,2023-05-29T22:52:12.364,1.680,-0.302,-0.806,0.600
1685389932384,2023-05-29T22:52:12.384,1.700,-0.293,-0.806,0.590
1685389932404,2023-05-29T22:52:12.404,1.720,-0.284,-0.796,0.576
1685389932424,2023-05-29T22:52:12.424,1.740,-0.283,-0.784,0.557
1685389932444,2023-05-29T22:52:12.444,1.760,-0.272,-0.773,0.542
1685389932464,2023-05-29T22:52:12.464,1.780,-0.271,-0.762,0.521
1685389932484,2023-05-29T22:52:12.484,1.800,-0.265,-0.747,0.500
1685389932504,2023-05-29T22:52:12.504,1.820,-0.271,-0.743,0.481
1685389932524,2023-05-29T22:52:12.524,1.840,-0.289,-0.738,0.459
1685389932544,2023-05-29T22:52:12.544,1.860,-0.292,-0.723,0.442
1685389932564,2023-05-29T22:52:12.564,1.880,-0.307,-0.725,0.429
1685389932584,2023-05-29T22:52:12.584,1.900,-0.314,-0.731,0.417
1685389932604,2023-05-29T22:52:12.604,1.920,-0.332,-0.731,0.415
1685389932624,2023-05-29T22:52:12.624,1.940,-0.349,-0.731,0.418
1685389932644,2023-05-29T22:52:12.644,1.960,-0.371,-0.740,0.414
1685389932664,2023-05-29T22:52:12.664,1.980,-0.376,-0.729,0.405
1685389932684,2023-05-29T22:52:12.684,2.000,-0.357,-0.726,0.402
1685389932704,2023-05-29T22:52:12.704,2.020,-0.345,-0.740,0.402
1685389932724,2023-05-29T22:52:12.724,2.040,-0.321,-0.751,0.409
1685389932744,2023-05-29T22:52:12.744,2.060,-0.330,-0.767,0.422
1685389932764,2023-05-29T22:52:12.764,2.080,-0.344,-0.775,0.425
1685389932784,2023-05-29T22:52:12.784,2.100,-0.378,-0.769,0.428
1685389932804,2023-05-29T22:52:12.804,2.120,-0.373,-0.769,0.448
1685389932824,2023-05-29T22:52:12.824,2.140,-0.351,-0.776,0.470
