epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685389860497,2023-05-29T22:51:00.497,0.000,-0.402,-0.722,0.459
1685389860517,2023-05-29T22:51:00.517,0.020,-0.402,-0.722,0.446
1685389860537,2023-05-29T22:51:00.537,0.040,-0.431,-0.700,0.427
1685389860557,2023-05-29T22:51:00.557,0.060,-0.449,-0.690,0.409
1685389860577,2023-05-29T22:51:00.577,0.080,-0.458,-0.688,0.423
1685389860597,2023-05-29T22:51:00.597,0.100,-0.452,-0.684,0.433
1685389860617,2023-05-29T22:51:00.617,0.120,-0.479,-0.682,0.411
1685389860637,2023-05-29T22:51:00.637,0.140,-0.492,-0.687,0.397
1685389860657,2023-05-29T22:51:00.657,0.160,-0.464,-0.695,0.409
1685389860677,2023-05-29T22:51:00.677,0.180,-0.448,-0.687,0.436
1685389860697,2023-05-29T22:51:00.697,0.200,-0.463,-0.679,0.437
1685389860717,2023-05-29T22:51:00.717,0.220,-0.483,-0.701,0.432
1685389860737,2023-05-29T22:51:00.737,0.240,-0.461,-0.723,0.441
1685389860757,2023-05-29T22:51:00.757,0.260,-0.438,-0.723,0.471
1685389860777,2023-05-29T22:51:00.777,0.280,-0.433,-0.708,0.486
1685389860797,2023-05-29T22:51:00.797,0.300,-0.419,-0.712,0.488
1685389860817,2023-05-29T22:51:00.817,0.320,-0.404,-0.719,0.489
1685389860837,2023-05-29T22:51:00.837,0.340,-0.401,-0.731,0.481
1685389860857,2023-05-29T22:51:00.857,0.360,-0.406,-0.749,0.489
1685389860877,2023-05-29T22:51:00.877,0.380,-0.386,-0.745,0.506
1685389860897,2023-05-29T22:51:00.897,0.400,-0.372,-0.731,0.505
1685389860917,2023-05-29T22:51:00.917,0.420,-0.371,-0.729,0.509
1685389860937,2023-05-29T22:51:00.937,0.440,-0.378,-0.744,0.522
1685389860957,2023-05-29T22:51:00.957,0.460,-0.380,-0.750,0.529
1685389860977,2023-05-29T22:51:00.977,0.480,-0.368,-0.753,0.537
1685389860997,2023-05-29T22:51:00.997,0.500,-0.358,-0.766,0.551
1685389861017,2023-05-29T22:51:01.017,0.520,-0.358,-0.760,0.553
1685389861037,2023-05-29T22:51:01.037,0.540,-0.358,-0.760,0.544
1685389861057,2023-05-29T22:51:01.057,0.560,-0.348,-0.778,0.549
1685389861077,2023-05-29T22:51:01.077,0.580,-0.333,-0.776,0.545
1685389861097,2023-05-29T22:51:01.097,0.600,-0.332,-0.764,0.547
1685389861117,2023-05-29T22:51:01.117,0.620,-0.338,-0.760,0.552
1685389861137,2023-05-29T22:51:01.137,0.640,-0.335,-0.756,0.551
1685389861157,2023-05-29T22:51:01.157,0.660,-0.334,-0.759,0.554
1685389861177,2023-05-29T22:51:01.177,0.680,-0.337,-0.760,0.551
1685389861197,2023-05-29T22:51:01.197,0.700,-0.325,-0.752,0.550
1685389861217,2023-05-29T22:51:01.217,0.720,-0.318,-0.747,0.559
1685389861237,2023-05-29T22:51:01.237,0.740,-0.330,-0.745,0.564
1685389861257,2023-05-29T22:51:01.257,0.760,-0.320,-0.733,0.570
1685389861277,2023-05-29T22:51:01.277,0.780,-0.326,-0.736,0.569
1685389861297,2023-05-29T22:51:01.297,0.800,-0.340,-0.751,0.586
1685389861317,2023-05-29T22:51:01.317,0.820,-0.336,-0.757,0.598
1685389861337,2023-05-29T22:51:01.337,0.840,-0.326,-0.762,0.607
1685389861357,2023-05-29T22:51:01.357,0.860,-0.332,-0.757,0.620
1685389861377,2023-05-29T22:51:01.377,0.880,-0.335,-0.752,0.633
1685389861397,2023-05-29T22:51:01.397,0.900,-0.350,-0.756,0.665
1685389861417,2023-05-29T22:51:01.417,0.920,-0.392,-0.749,0.685
1685389861437,2023-05-29T22:51:01.437,0.940,-0.404,-0.729,0.705
1685389861457,2023-05-29T22:51:01.457,0.960,-0.413,-0.712,0.716
1685389861477,2023-05-29T22:51:01.477,0.980,-0.443,-0.704,0.715
1685389861497,2023-05-29T22:51:01.497,1.000,-0.457,-0.692,0.723
1685389861517,2023-05-29T22:51:01.517,1.020,-0.458,-0.672,0.724
1685389861537,2023-05-29T22:51:01.537,1.040,-0.493,-0.668,0.710
1685389861557,2023-05-29T22:51:01.557,1.060,-0.505,-0.673,0.705
1685389861577,2023-05-29T22:51:01.577,1.080,-0.501,-0.669,0.692
1685389861597,2023-05-29T22:51:01.597,1.100,-0.510,-0.661,0.677
1685389861617,2023-05-29T22:51:01.617,1.120,-0.503,-0.656,0.665
1685389861637,2023-05-29T22:51:01.637,1.140,-0.503,-0.641,0.648
1685389861657,2023-05-29T22:51:01.657,1.160,-0.510,-0.643,0.640
1685389861677,2023-05-29T22:51:01.677,1.180,-0.500,-0.638,0.629
1685389861697,2023-05-29T22:51:01.697,1.200,-0.490,-0.622,0.611
1685389861717,2023-05-29T22:51:01.717,1.220,-0.489,-0.618,0.602
1685389861737,2023-05-29T22:51:01.737,1.240,-0.493,-0.626,0.590
1685389861757,2023-05-29T22:51:01.757,1.260,-0.495,-0.636,0.582
1685389861777,2023-05-29T22:51:01.777,1.280,-0.486,-0.636,0.576
1685389861797,2023-05-29T22:51:01.797,1.300,-0.476,-0.645,0.566
1685389861817,2023-05-29T22:51:01.817,1.320,-0.461,-0.653,0.564
1685389861837,2023-05-29T22:51:01.837,1.340,-0.445,-0.651,0.567
1685389861857,2023-05-29T22:51:01.857,1.360,-0.438,-0.661,0.562
1685389861877,2023-05-29T22:51:01.877,1.380,-0.436,-0.674,0.552
1685389861897,2023-05-29T22:51:01.897,1.400,-0.431,-0.696,0.542
1685389861917,2023-05-29T22:51:01.917,1.420,-0.416,-0.705,0.531
1685389861937,2023-05-29T22:51:01.937,1.440,-0.412,-0.722,0.526
1685389861957,2023-05-29T22:51:01.957,1.460,-0.407,-0.749,0.526
1685389861977,2023-05-29T22:51:01.977,1.480,-0.414,-0.763,0.525
1685389861997,2023-05-29T22:51:01.997,1.500,-0.409,-0.770,0.526
1685389862017,2023-05-29T22:51:02.017,1.520,-0.395,-0.785,0.523
1685389862037,2023-05-29T22:51:02.037,1.540,-0.399,-0.793,0.524
1685389862057,2023-05-29T22:51:02.057,1.560,-0.396,-0.781,0.519
1685389862077,2023-05-29T22:51:02.077,1.580,-0.390,-0.782,0.510
1685389862097,2023-05-29T22:51:02.097,1.600,-0.373,-0.781,0.503
1685389862117,2023-05-29T22:51:02.117,1.620,-0.356,-0.769,0.478
1685389862137,2023-05-29T22:51:02.137,1.640,-0.357,-0.763,0.452
1685389862157,2023-05-29T22:51:02.157,1.660,-0.350,-0.765,0.437
1685389862177,2023-05-29T22:51:02.177,1.680,-0.346,-0.760,0.422
1685389862197,2023-05-29T22:51:02.197,1.700,-0.355,-0.764,0.411
1685389862217,2023-05-29T22:51:02.217,1.720,-0.357,-0.751,0.390
1685389862237,2023-05-29T22:51:02.237,1.740,-0.347,-0.733,0.373
1685389862257,2023-05-29T22:51:02.257,1.760,-0.336,-0.726,0.353
1685389862277,2023-05-29T22:51:02.277,1.780,-0.335,-0.720,0.343
1685389862297,2023-05-29T22:51:02.297,1.800,-0.346,-0.715,0.336
1685389862317,2023-05-29T22:51:02.317,1.820,-0.354,-0.726,0.327
1685389862337,2023-05-29T22:51:02.337,1.840,-0.357,-0.738,0.323
1685389862357,2023-05-29T22:51:02.357,1.860,-0.372,-0.746,0.326
1685389862377,2023-05-29T22:51:02.377,1.880,-0.386,-0.762,0.328
1685389862397,2023-05-29T22:51:02.397,1.900,-0.409,-0.774,0.337
1685389862417,2023-05-29T22:51:02.417,1.920,-0.396,-0.781,0.367
1685389862437,2023-05-29T22:51:02.437,1.940,-0.383,-0.785,0.392
1685389862457,2023-05-29T22:51:02.457,1.960,-0.399,-0.790,0.407
1685389862477,2023-05-29T22:51:02.477,1.980,-0.408,-0.791,0.428
1685389862497,2023-05-29T22:51:02.497,2.000,-0.435,-0.789,0.436
1685389862517,2023-05-29T22:51:02.517,2.020,-0.431,-0.800,0.452
1685389862537,2023-05-29T22:51:02.537,2.040,-0.409,-0.789,0.468
1685389862557,2023-05-29T22:51:02.557,2.060,-0.397,-0.771,0.467
