epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685389583869,2023-05-29T22:46:23.869,0.000,-0.329,-0.737,0.594
1685389583889,2023-05-29T22:46:23.889,0.020,-0.350,-0.739,0.587
1685389583909,2023-05-29T22:46:23.909,0.040,-0.333,-0.720,0.577
1685389583929,2023-05-29T22:46:23.929,0.060,-0.333,-0.704,0.564
1685389583949,2023-05-29T22:46:23.949,0.080,-0.319,-0.704,0.558
1685389583969,2023-05-29T22:46:23.969,0.100,-0.312,-0.692,0.534
1685389583989,2023-05-29T22:46:23.989,0.120,-0.362,-0.688,0.521
1685389584009,2023-05-29T22:46:24.009,0.140,-0.351,-0.694,0.532
1685389584029,2023-05-29T22:46:24.029,0.160,-0.342,-0.708,0.527
1685389584049,2023-05-29T22:46:24.049,0.180,-0.381,-0.708,0.499
1685389584069,2023-05-29T22:46:24.069,0.200,-0.426,-0.711,0.476
1685389584089,2023-05-29T22:46:24.089,0.220,-0.406,-0.710,0.479
1685389584109,2023-05-29T22:46:24.109,0.240,-0.403,-0.709,0.481
1685389584129,2023-05-29T22:46:24.129,0.260,-0.410,-0.708,0.490
1685389584149,2023-05-29T22:46:24.149,0.280,-0.417,-0.706,0.500
1685389584169,2023-05-29T22:46:24.169,0.300,-0.403,-0.708,0.500
1685389584189,2023-05-29T22:46:24.189,0.320,-0.390,-0.709,0.511
1685389584209,2023-05-29T22:46:24.209,0.340,-0.389,-0.699,0.520
1685389584229,2023-05-29T22:46:24.229,0.360,-0.364,-0.688,0.521
1685389584249,2023-05-29T22:46:24.249,0.380,-0.371,-0.675,0.510
1685389584269,2023-05-29T22:46:24.269,0.400,-0.386,-0.665,0.500
1685389584289,2023-05-29T22:46:24.289,0.420,-0.383,-0.675,0.484
1685389584309,2023-05-29T22:46:24.309,0.440,-0.388,-0.686,0.493
1685389584329,2023-05-29T22:46:24.329,0.460,-0.400,-0.679,0.493
1685389584349,2023-05-29T22:46:24.349,0.480,-0.393,-0.668,0.491
1685389584369,2023-05-29T22:46:24.369,0.500,-0.399,-0.677,0.482
1685389584389,2023-05-29T22:46:24.389,0.520,-0.400,-0.700,0.487
1685389584409,2023-05-29T22:46:24.409,0.540,-0.401,-0.704,0.496
1685389584429,2023-05-29T22:46:24.429,0.560,-0.399,-0.711,0.505
1685389584449,2023-05-29T22:46:24.449,0.580,-0.389,-0.714,0.518
1685389584469,2023-05-29T22:46:24.469,0.600,-0.384,-0.704,0.524
1685389584489,2023-05-29T22:46:24.489,0.620,-0.375,-0.704,0.531
1685389584509,2023-05-29T22:46:24.509,0.640,-0.374,-0.728,0.542
1685389584529,2023-05-29T22:46:24.529,0.660,-0.357,-0.741,0.559
1685389584549,2023-05-29T22:46:24.549,0.680,-0.333,-0.730,0.570
1685389584569,2023-05-29T22:46:24.569,0.700,-0.328,-0.719,0.576
1685389584589,2023-05-29T22:46:24.589,0.720,-0.314,-0.715,0.585
1685389584609,2023-05-29T22:46:24.609,0.740,-0.312,-0.720,0.578
1685389584629,2023-05-29T22:46:24.629,0.760,-0.326,-0.719,0.575
1685389584649,2023-05-29T22:46:24.649,0.780,-0.320,-0.720,0.592
1685389584669,2023-05-29T22:46:24.669,0.800,-0.312,-0.720,0.599
1685389584689,2023-05-29T22:46:24.689,0.820,-0.304,-0.737,0.603
1685389584709,2023-05-29T22:46:24.709,0.840,-0.291,-0.736,0.622
1685389584729,2023-05-29T22:46:24.729,0.860,-0.279,-0.720,0.638
1685389584749,2023-05-29T22:46:24.749,0.880,-0.254,-0.720,0.663
1685389584769,2023-05-29T22:46:24.769,0.900,-0.259,-0.722,0.682
1685389584789,2023-05-29T22:46:24.789,0.920,-0.267,-0.721,0.697
1685389584809,2023-05-29T22:46:24.809,0.940,-0.262,-0.717,0.711
1685389584829,2023-05-29T22:46:24.829,0.960,-0.275,-0.727,0.719
1685389584849,2023-05-29T22:46:24.849,0.980,-0.272,-0.728,0.724
1685389584869,2023-05-29T22:46:24.869,1.000,-0.261,-0.722,0.724
1685389584889,2023-05-29T22:46:24.889,1.020,-0.277,-0.713,0.743
1685389584909,2023-05-29T22:46:24.909,1.040,-0.290,-0.707,0.759
1685389584929,2023-05-29T22:46:24.929,1.060,-0.296,-0.698,0.776
1685389584949,2023-05-29T22:46:24.949,1.080,-0.297,-0.693,0.787
1685389584969,2023-05-29T22:46:24.969,1.100,-0.307,-0.685,0.795
1685389584989,2023-05-29T22:46:24.989,1.120,-0.320,-0.670,0.798
1685389585009,2023-05-29T22:46:25.009,1.140,-0.331,-0.657,0.808
1685389585029,2023-05-29T22:46:25.029,1.160,-0.359,-0.645,0.817
1685389585049,2023-05-29T22:46:25.049,1.180,-0.390,-0.630,0.817
1685389585069,2023-05-29T22:46:25.069,1.200,-0.406,-0.617,0.816
1685389585089,2023-05-29T22:46:25.089,1.220,-0.426,-0.603,0.812
1685389585109,2023-05-29T22:46:25.109,1.240,-0.435,-0.596,0.799
1685389585129,2023-05-29T22:46:25.129,1.260,-0.433,-0.583,0.797
1685389585149,2023-05-29T22:46:25.149,1.280,-0.428,-0.580,0.785
1685389585169,2023-05-29T22:46:25.169,1.300,-0.439,-0.575,0.774
1685389585189,2023-05-29T22:46:25.189,1.320,-0.435,-0.569,0.772
1685389585209,2023-05-29T22:46:25.209,1.340,-0.443,-0.563,0.763
