epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685390004069,2023-05-29T22:53:24.069,0.000,-0.241,-0.718,0.588
1685390004089,2023-05-29T22:53:24.089,0.020,-0.258,-0.725,0.597
1685390004109,2023-05-29T22:53:24.109,0.040,-0.267,-0.717,0.616
1685390004129,2023-05-29T22:53:24.129,0.060,-0.305,-0.707,0.604
1685390004149,2023-05-29T22:53:24.149,0.080,-0.322,-0.698,0.592
1685390004169,2023-05-29T22:53:24.169,0.100,-0.313,-0.694,0.602
1685390004189,2023-05-29T22:53:24.189,0.120,-0.313,-0.691,0.590
1685390004209,2023-05-29T22:53:24.209,0.140,-0.304,-0.691,0.578
1685390004229,2023-05-29T22:53:24.229,0.160,-0.254,-0.706,0.582
1685390004249,2023-05-29T22:53:24.249,0.180,-0.321,-0.679,0.570
1685390004269,2023-05-29T22:53:24.269,0.200,-0.359,-0.674,0.563
1685390004289,2023-05-29T22:53:24.289,0.220,-0.309,-0.685,0.591
1685390004309,2023-05-29T22:53:24.309,0.240,-0.309,-0.687,0.600
1685390004329,2023-05-29T22:53:24.329,0.260,-0.304,-0.691,0.605
1685390004349,2023-05-29T22:53:24.349,0.280,-0.300,-0.698,0.618
1685390004369,2023-05-29T22:53:24.369,0.300,-0.306,-0.706,0.610
1685390004389,2023-05-29T22:53:24.389,0.320,-0.291,-0.714,0.605
1685390004409,2023-05-29T22:53:24.409,0.340,-0.277,-0.716,0.596
1685390004429,2023-05-29T22:53:24.429,0.360,-0.285,-0.712,0.589
1685390004449,2023-05-29T22:53:24.449,0.380,-0.295,-0.703,0.577
1685390004469,2023-05-29T22:53:24.469,0.400,-0.288,-0.706,0.571
1685390004489,2023-05-29T22:53:24.489,0.420,-0.269,-0.711,0.576
1685390004509,2023-05-29T22:53:24.509,0.440,-0.259,-0.719,0.582
1685390004529,2023-05-29T22:53:24.529,0.460,-0.262,-0.711,0.586
1685390004549,2023-05-29T22:53:24.549,0.480,-0.260,-0.699,0.581
1685390004569,2023-05-29T22:53:24.569,0.500,-0.260,-0.694,0.569
1685390004589,2023-05-29T22:53:24.589,0.520,-0.259,-0.712,0.577
1685390004609,2023-05-29T22:53:24.609,0.540,-0.244,-0.698,0.588
1685390004629,2023-05-29T22:53:24.629,0.560,-0.247,-0.686,0.590
1685390004649,2023-05-29T22:53:24.649,0.580,-0.259,-0.689,0.597
1685390004669,2023-05-29T22:53:24.669,0.600,-0.268,-0.691,0.602
1685390004689,2023-05-29T22:53:24.689,0.620,-0.264,-0.692,0.601
1685390004709,2023-05-29T22:53:24.709,0.640,-0.255,-0.688,0.603
1685390004729,2023-05-29T22:53:24.729,0.660,-0.250,-0.688,0.606
1685390004749,2023-05-29T22:53:24.749,0.680,-0.264,-0.697,0.610
1685390004769,2023-05-29T22:53:24.769,0.700,-0.258,-0.708,0.618
1685390004789,2023-05-29T22:53:24.789,0.720,-0.262,-0.722,0.629
1685390004809,2023-05-29T22:53:24.809,0.740,-0.259,-0.712,0.648
1685390004829,2023-05-29T22:53:24.829,0.760,-0.259,-0.695,0.651
1685390004849,2023-05-29T22:53:24.849,0.780,-0.275,-0.697,0.648
1685390004869,2023-05-29T22:53:24.869,0.800,-0.268,-0.719,0.654
1685390004889,2023-05-29T22:53:24.889,0.820,-0.255,-0.739,0.649
1685390004909,2023-05-29T22:53:24.909,0.840,-0.231,-0.739,0.644
1685390004929,2023-05-29T22:53:24.929,0.860,-0.224,-0.751,0.646
1685390004949,2023-05-29T22:53:24.949,0.880,-0.220,-0.750,0.659
1685390004969,2023-05-29T22:53:24.969,0.900,-0.214,-0.740,0.667
1685390004989,2023-05-29T22:53:24.989,0.920,-0.219,-0.741,0.676
