epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685390236808,2023-05-29T22:57:16.808,0.000,-0.116,-0.768,0.608
1685390236828,2023-05-29T22:57:16.828,0.020,-0.115,-0.784,0.598
1685390236848,2023-05-29T22:57:16.848,0.040,-0.128,-0.784,0.591
1685390236868,2023-05-29T22:57:16.868,0.060,-0.126,-0.780,0.589
1685390236888,2023-05-29T22:57:16.888,0.080,-0.121,-0.776,0.585
1685390236908,2023-05-29T22:57:16.908,0.100,-0.113,-0.771,0.590
1685390236928,2023-05-29T22:57:16.928,0.120,-0.114,-0.767,0.602
1685390236948,2023-05-29T22:57:16.948,0.140,-0.130,-0.760,0.603
1685390236968,2023-05-29T22:57:16.968,0.160,-0.149,-0.755,0.594
1685390236988,2023-05-29T22:57:16.988,0.180,-0.161,-0.740,0.583
1685390237008,2023-05-29T22:57:17.008,0.200,-0.175,-0.727,0.567
1685390237028,2023-05-29T22:57:17.028,0.220,-0.178,-0.722,0.565
1685390237048,2023-05-29T22:57:17.048,0.240,-0.179,-0.715,0.564
1685390237068,2023-05-29T22:57:17.068,0.260,-0.199,-0.700,0.562
1685390237088,2023-05-29T22:57:17.088,0.280,-0.215,-0.696,0.561
1685390237108,2023-05-29T22:57:17.108,0.300,-0.229,-0.685,0.558
1685390237128,2023-05-29T22:57:17.128,0.320,-0.252,-0.673,0.552
1685390237148,2023-05-29T22:57:17.148,0.340,-0.278,-0.672,0.550
1685390237168,2023-05-29T22:57:17.168,0.360,-0.283,-0.679,0.543
1685390237188,2023-05-29T22:57:17.188,0.380,-0.285,-0.672,0.542
1685390237208,2023-05-29T22:57:17.208,0.400,-0.287,-0.650,0.539
1685390237228,2023-05-29T22:57:17.228,0.420,-0.312,-0.638,0.533
1685390237248,2023-05-29T22:57:17.248,0.440,-0.348,-0.658,0.541
1685390237268,2023-05-29T22:57:17.268,0.460,-0.370,-0.683,0.557
1685390237288,2023-05-29T22:57:17.288,0.480,-0.370,-0.692,0.579
1685390237308,2023-05-29T22:57:17.308,0.500,-0.372,-0.694,0.588
1685390237328,2023-05-29T22:57:17.328,0.520,-0.359,-0.683,0.589
1685390237348,2023-05-29T22:57:17.348,0.540,-0.354,-0.680,0.586
1685390237368,2023-05-29T22:57:17.368,0.560,-0.365,-0.691,0.589
1685390237388,2023-05-29T22:57:17.388,0.580,-0.377,-0.703,0.604
1685390237408,2023-05-29T22:57:17.408,0.600,-0.388,-0.697,0.618
1685390237428,2023-05-29T22:57:17.428,0.620,-0.393,-0.704,0.635
1685390237448,2023-05-29T22:57:17.448,0.640,-0.390,-0.727,0.658
1685390237468,2023-05-29T22:57:17.468,0.660,-0.388,-0.713,0.669
1685390237488,2023-05-29T22:57:17.488,0.680,-0.395,-0.706,0.666
1685390237508,2023-05-29T22:57:17.508,0.700,-0.385,-0.711,0.676
1685390237528,2023-05-29T22:57:17.528,0.720,-0.376,-0.707,0.689
1685390237548,2023-05-29T22:57:17.548,0.740,-0.351,-0.712,0.697
1685390237568,2023-05-29T22:57:17.568,0.760,-0.347,-0.723,0.702
1685390237588,2023-05-29T22:57:17.588,0.780,-0.346,-0.726,0.706
1685390237608,2023-05-29T22:57:17.608,0.800,-0.352,-0.734,0.718
1685390237628,2023-05-29T22:57:17.628,0.820,-0.328,-0.754,0.733
1685390237648,2023-05-29T22:57:17.648,0.840,-0.292,-0.774,0.752
1685390237668,2023-05-29T22:57:17.668,0.860,-0.261,-0.784,0.761
1685390237688,2023-05-29T22:57:17.688,0.880,-0.241,-0.785,0.765
1685390237708,2023-05-29T22:57:17.708,0.900,-0.225,-0.789,0.759
1685390237728,2023-05-29T22:57:17.728,0.920,-0.214,-0.793,0.739
1685390237748,2023-05-29T22:57:17.748,0.940,-0.209,-0.807,0.721
1685390237768,2023-05-29T22:57:17.768,0.960,-0.181,-0.813,0.708
1685390237788,2023-05-29T22:57:17.788,0.980,-0.150,-0.816,0.684
1685390237808,2023-05-29T22:57:17.808,1.000,-0.132,-0.813,0.668
1685390237828,2023-05-29T22:57:17.828,1.020,-0.140,-0.811,0.656
1685390237848,2023-05-29T22:57:17.848,1.040,-0.155,-0.815,0.636
1685390237868,2023-05-29T22:57:17.868,1.060,-0.137,-0.817,0.614
1685390237888,2023-05-29T22:57:17.888,1.080,-0.134,-0.810,0.592
1685390237908,2023-05-29T22:57:17.908,1.100,-0.152,-0.800,0.572
1685390237928,2023-05-29T22:57:17.928,1.120,-0.162,-0.796,0.559
1685390237948,2023-05-29T22:57:17.948,1.140,-0.157,-0.795,0.554
1685390237968,2023-05-29T22:57:17.968,1.160,-0.173,-0.784,0.548
1685390237988,2023-05-29T22:57:17.988,1.180,-0.211,-0.788,0.528
1685390238008,2023-05-29T22:57:18.008,1.200,-0.227,-0.796,0.525
1685390238028,2023-05-29T22:57:18.028,1.220,-0.255,-0.779,0.528
1685390238048,2023-05-29T22:57:18.048,1.240,-0.299,-0.770,0.532
1685390238068,2023-05-29T22:57:18.068,1.260,-0.299,-0.769,0.547
1685390238088,2023-05-29T22:57:18.088,1.280,-0.318,-0.752,0.563
1685390238108,2023-05-29T22:57:18.108,1.300,-0.366,-0.740,0.567
1685390238128,2023-05-29T22:57:18.128,1.320,-0.367,-0.740,0.566
1685390238148,2023-05-29T22:57:18.148,1.340,-0.395,-0.726,0.566
1685390238168,2023-05-29T22:57:18.168,1.360,-0.423,-0.709,0.571
1685390238188,2023-05-29T22:57:18.188,1.380,-0.421,-0.706,0.561
1685390238208,2023-05-29T22:57:18.208,1.400,-0.438,-0.701,0.537
1685390238228,2023-05-29T22:57:18.228,1.420,-0.437,-0.698,0.523
1685390238248,2023-05-29T22:57:18.248,1.440,-0.443,-0.689,0.508
1685390238268,2023-05-29T22:57:18.268,1.460,-0.461,-0.679,0.483
1685390238288,2023-05-29T22:57:18.288,1.480,-0.469,-0.664,0.461
1685390238308,2023-05-29T22:57:18.308,1.500,-0.463,-0.656,0.440
1685390238328,2023-05-29T22:57:18.328,1.520,-0.481,-0.659,0.415
1685390238348,2023-05-29T22:57:18.348,1.540,-0.480,-0.658,0.403
1685390238368,2023-05-29T22:57:18.368,1.560,-0.471,-0.650,0.384
1685390238388,2023-05-29T22:57:18.388,1.580,-0.456,-0.659,0.357
1685390238408,2023-05-29T22:57:18.408,1.600,-0.451,-0.667,0.337
1685390238428,2023-05-29T22:57:18.428,1.620,-0.465,-0.683,0.322
1685390238448,2023-05-29T22:57:18.448,1.640,-0.456,-0.697,0.324
1685390238468,2023-05-29T22:57:18.468,1.660,-0.435,-0.695,0.325
1685390238488,2023-05-29T22:57:18.488,1.680,-0.458,-0.698,0.324
1685390238508,2023-05-29T22:57:18.508,1.700,-0.488,-0.708,0.335
1685390238528,2023-05-29T22:57:18.528,1.720,-0.503,-0.717,0.366
1685390238548,2023-05-29T22:57:18.548,1.740,-0.507,-0.719,0.393
1685390238568,2023-05-29T22:57:18.568,1.760,-0.534,-0.722,0.408
1685390238588,2023-05-29T22:57:18.588,1.780,-0.563,-0.727,0.424
1685390238608,2023-05-29T22:57:18.608,1.800,-0.540,-0.729,0.438
1685390238628,2023-05-29T22:57:18.628,1.820,-0.513,-0.750,0.451
1685390238648,2023-05-29T22:57:18.648,1.840,-0.514,-0.773,0.463
1685390238668,2023-05-29T22:57:18.668,1.860,-0.470,-0.773,0.464
1685390238688,2023-05-29T22:57:18.688,1.880,-0.437,-0.776,0.454
1685390238708,2023-05-29T22:57:18.708,1.900,-0.398,-0.775,0.452
1685390238728,2023-05-29T22:57:18.728,1.920,-0.365,-0.786,0.458
1685390238748,2023-05-29T22:57:18.748,1.940,-0.344,-0.809,0.467
1685390238768,2023-05-29T22:57:18.768,1.960,-0.335,-0.832,0.459
1685390238788,2023-05-29T22:57:18.788,1.980,-0.299,-0.851,0.451
1685390238808,2023-05-29T22:57:18.808,2.000,-0.265,-0.869,0.435
1685390238828,2023-05-29T22:57:18.828,2.020,-0.206,-0.880,0.417
1685390238848,2023-05-29T22:57:18.848,2.040,-0.165,-0.894,0.407
1685390238868,2023-05-29T22:57:18.868,2.060,-0.147,-0.904,0.404
1685390238888,2023-05-29T22:57:18.888,2.080,-0.132,-0.907,0.405
1685390238908,2023-05-29T22:57:18.908,2.100,-0.111,-0.903,0.409
1685390238928,2023-05-29T22:57:18.928,2.120,-0.098,-0.902,0.407
1685390238948,2023-05-29T22:57:18.948,2.140,-0.102,-0.896,0.409
1685390238968,2023-05-29T22:57:18.968,2.160,-0.129,-0.885,0.421
1685390238988,2023-05-29T22:57:18.988,2.180,-0.154,-0.876,0.429
1685390239008,2023-05-29T22:57:19.008,2.200,-0.205,-0.881,0.427
1685390239028,2023-05-29T22:57:19.028,2.220,-0.194,-0.879,0.442
1685390239048,2023-05-29T22:57:19.048,2.240,-0.199,-0.868,0.445
1685390239068,2023-05-29T22:57:19.068,2.260,-0.237,-0.861,0.435
1685390239088,2023-05-29T22:57:19.088,2.280,-0.262,-0.857,0.437
1685390239108,2023-05-29T22:57:19.108,2.300,-0.263,-0.844,0.449
1685390239128,2023-05-29T22:57:19.128,2.320,-0.254,-0.852,0.466
1685390239148,2023-05-29T22:57:19.148,2.340,-0.207,-0.856,0.477
