epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685389930674,2023-05-29T22:52:10.674,0.000,-14.146,9.817,1.037
1685389930694,2023-05-29T22:52:10.694,0.020,-13.415,9.695,1.707
1685389930714,2023-05-29T22:52:10.714,0.040,-11.341,8.415,3.049
1685389930734,2023-05-29T22:52:10.734,0.060,-9.085,7.805,2.927
1685389930754,2023-05-29T22:52:10.754,0.080,-5.732,7.134,1.341
1685389930774,2023-05-29T22:52:10.774,0.100,0.000,5.122,1.585
1685389930794,2023-05-29T22:52:10.794,0.120,5.671,2.500,3.780
1685389930814,2023-05-29T22:52:10.814,0.140,9.451,7.195,6.037
1685389930834,2023-05-29T22:52:10.834,0.160,10.793,15.000,7.012
1685389930854,2023-05-29T22:52:10.854,0.180,10.488,17.683,6.280
1685389930874,2023-05-29T22:52:10.874,0.200,9.817,16.585,2.866
1685389930894,2023-05-29T22:52:10.894,0.220,9.817,16.890,-1.402
1685389930914,2023-05-29T22:52:10.914,0.240,9.512,18.720,-5.549
1685389930934,2023-05-29T22:52:10.934,0.260,8.110,17.805,-8.841
1685389930954,2023-05-29T22:52:10.954,0.280,6.524,13.659,-11.707
1685389930974,2023-05-29T22:52:10.974,0.300,6.707,11.585,-14.268
1685389930994,2023-05-29T22:52:10.994,0.320,8.232,15.915,-16.159
1685389931014,2023-05-29T22:52:11.014,0.340,10.000,21.951,-17.805
1685389931034,2023-05-29T22:52:11.034,0.360,12.561,21.341,-17.683
1685389931054,2023-05-29T22:52:11.054,0.380,15.244,15.915,-17.561
1685389931074,2023-05-29T22:52:11.074,0.400,17.256,11.646,-17.561
1685389931094,2023-05-29T22:52:11.094,0.420,17.988,7.683,-17.805
1685389931114,2023-05-29T22:52:11.114,0.440,19.695,4.268,-17.378
1685389931134,2023-05-29T22:52:11.134,0.460,21.829,5.122,-16.280
1685389931154,2023-05-29T22:52:11.154,0.480,22.134,7.317,-15.122
1685389931174,2023-05-29T22:52:11.174,0.500,21.280,5.122,-14.695
1685389931194,2023-05-29T22:52:11.194,0.520,20.976,2.805,-15.610
1685389931214,2023-05-29T22:52:11.214,0.540,21.159,2.866,-16.829
1685389931234,2023-05-29T22:52:11.234,0.560,21.463,2.378,-16.524
1685389931254,2023-05-29T22:52:11.254,0.580,20.915,4.146,-16.524
1685389931274,2023-05-29T22:52:11.274,0.600,19.939,5.488,-16.890
1685389931294,2023-05-29T22:52:11.294,0.620,19.756,2.927,-15.793
1685389931314,2023-05-29T22:52:11.314,0.640,20.671,-1.707,-15.183
1685389931334,2023-05-29T22:52:11.334,0.660,22.744,-4.085,-14.512
1685389931354,2023-05-29T22:52:11.354,0.680,24.024,-1.280,-14.329
1685389931374,2023-05-29T22:52:11.374,0.700,24.634,0.122,-13.415
1685389931394,2023-05-29T22:52:11.394,0.720,24.634,-0.122,-12.195
1685389931414,2023-05-29T22:52:11.414,0.740,24.451,-3.476,-11.280
1685389931434,2023-05-29T22:52:11.434,0.760,24.756,-5.427,-9.878
1685389931454,2023-05-29T22:52:11.454,0.780,25.488,-2.805,-8.354
1685389931474,2023-05-29T22:52:11.474,0.800,25.976,-1.341,-7.317
1685389931494,2023-05-29T22:52:11.494,0.820,26.402,-7.134,-6.341
1685389931514,2023-05-29T22:52:11.514,0.840,27.317,-12.927,-4.634
1685389931534,2023-05-29T22:52:11.534,0.860,28.171,-15.122,-1.707
1685389931554,2023-05-29T22:52:11.554,0.880,27.988,-15.000,2.134
1685389931574,2023-05-29T22:52:11.574,0.900,26.768,-14.085,5.549
1685389931594,2023-05-29T22:52:11.594,0.920,24.695,-16.890,8.780
1685389931614,2023-05-29T22:52:11.614,0.940,22.683,-18.049,11.463
1685389931634,2023-05-29T22:52:11.634,0.960,20.488,-17.073,14.451
1685389931654,2023-05-29T22:52:11.654,0.980,17.805,-18.780,17.683
1685389931674,2023-05-29T22:52:11.674,1.000,14.817,-21.707,20.427
1685389931694,2023-05-29T22:52:11.694,1.020,12.134,-20.976,22.988
