epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685376189552,2023-05-29T19:03:09.552,0.000,0.183,1.707,0.915
1685376189572,2023-05-29T19:03:09.572,0.020,0.427,1.829,1.098
1685376189592,2023-05-29T19:03:09.592,0.040,0.305,2.622,0.976
1685376189612,2023-05-29T19:03:09.612,0.060,-0.549,1.463,0.427
1685376189632,2023-05-29T19:03:09.632,0.080,-1.890,0.549,0.305
1685376189652,2023-05-29T19:03:09.652,0.100,-2.439,0.000,-0.183
1685376189672,2023-05-29T19:03:09.672,0.120,-2.988,-0.061,-0.671
1685376189692,2023-05-29T19:03:09.692,0.140,-3.537,0.061,-1.037
1685376189712,2023-05-29T19:03:09.712,0.160,-3.354,1.524,-1.280
1685376189732,2023-05-29T19:03:09.732,0.180,-2.805,2.256,-1.220
1685376189752,2023-05-29T19:03:09.752,0.200,-2.317,2.012,-1.646
1685376189772,2023-05-29T19:03:09.772,0.220,-0.915,1.707,-1.890
1685376189792,2023-05-29T19:03:09.792,0.240,0.671,2.622,-1.524
1685376189812,2023-05-29T19:03:09.812,0.260,1.402,3.780,-1.585
1685376189832,2023-05-29T19:03:09.832,0.280,1.707,3.780,-1.768
1685376189852,2023-05-29T19:03:09.852,0.300,1.890,4.146,-2.378
1685376189872,2023-05-29T19:03:09.872,0.320,2.195,4.268,-3.780
1685376189892,2023-05-29T19:03:09.892,0.340,2.866,4.329,-6.951
1685376189912,2023-05-29T19:03:09.912,0.360,3.110,6.159,-11.280
1685376189932,2023-05-29T19:03:09.932,0.380,3.476,10.610,-16.463
1685376189952,2023-05-29T19:03:09.952,0.400,3.902,15.000,-21.037
1685376189972,2023-05-29T19:03:09.972,0.420,4.939,15.976,-25.427
1685376189992,2023-05-29T19:03:09.992,0.440,7.317,16.463,-28.049
1685376190012,2023-05-29T19:03:10.012,0.460,9.939,16.463,-29.695
1685376190032,2023-05-29T19:03:10.032,0.480,12.622,18.232,-31.341
1685376190052,2023-05-29T19:03:10.052,0.500,15.183,23.110,-33.476
1685376190072,2023-05-29T19:03:10.072,0.520,17.927,26.341,-36.707
