epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685472043427,2023-05-30T21:40:43.427,0.000,-10.305,-10.061,0.366
1685472043447,2023-05-30T21:40:43.447,0.020,-10.122,-9.939,0.854
1685472043467,2023-05-30T21:40:43.467,0.040,-10.427,-8.232,2.195
1685472043487,2023-05-30T21:40:43.487,0.060,-10.793,-7.744,2.561
1685472043507,2023-05-30T21:40:43.507,0.080,-9.146,-5.854,1.585
1685472043527,2023-05-30T21:40:43.527,0.100,-7.256,-4.634,-0.488
1685472043547,2023-05-30T21:40:43.547,0.120,-5.427,-5.854,-1.463
1685472043567,2023-05-30T21:40:43.567,0.140,-2.744,-3.963,0.000
1685472043587,2023-05-30T21:40:43.587,0.160,-0.305,-2.195,1.463
1685472043607,2023-05-30T21:40:43.607,0.180,2.439,-0.549,1.463
1685472043627,2023-05-30T21:40:43.627,0.200,6.098,-3.232,1.646
1685472043647,2023-05-30T21:40:43.647,0.220,7.988,-3.415,1.159
1685472043667,2023-05-30T21:40:43.667,0.240,8.780,-3.415,-0.671
1685472043687,2023-05-30T21:40:43.687,0.260,7.439,-5.305,-3.049
1685472043707,2023-05-30T21:40:43.707,0.280,5.183,-2.317,-5.244
1685472043727,2023-05-30T21:40:43.727,0.300,5.427,1.829,-6.159
1685472043747,2023-05-30T21:40:43.747,0.320,6.890,2.439,-6.829
1685472043767,2023-05-30T21:40:43.767,0.340,8.963,3.598,-7.622
1685472043787,2023-05-30T21:40:43.787,0.360,10.915,5.427,-8.476
1685472043807,2023-05-30T21:40:43.807,0.380,13.110,6.524,-9.451
1685472043827,2023-05-30T21:40:43.827,0.400,15.427,8.110,-11.098
1685472043847,2023-05-30T21:40:43.847,0.420,16.829,8.110,-12.988
1685472043867,2023-05-30T21:40:43.867,0.440,16.585,8.841,-15.305
1685472043887,2023-05-30T21:40:43.887,0.460,16.341,11.037,-17.561
1685472043907,2023-05-30T21:40:43.907,0.480,16.037,13.110,-20.305
1685472043927,2023-05-30T21:40:43.927,0.500,16.159,13.659,-22.744
1685472043947,2023-05-30T21:40:43.947,0.520,14.512,12.805,-25.366
1685472043967,2023-05-30T21:40:43.967,0.540,11.890,15.061,-28.110
1685472043987,2023-05-30T21:40:43.987,0.560,11.524,17.866,-29.939
1685472044007,2023-05-30T21:40:44.007,0.580,10.976,17.195,-31.220
1685472044027,2023-05-30T21:40:44.027,0.600,9.268,17.317,-32.378
1685472044047,2023-05-30T21:40:44.047,0.620,7.134,20.305,-33.598
1685472044067,2023-05-30T21:40:44.067,0.640,4.329,22.805,-34.024
1685472044087,2023-05-30T21:40:44.087,0.660,1.829,22.927,-33.720
1685472044107,2023-05-30T21:40:44.107,0.680,-1.220,23.963,-33.415
1685472044127,2023-05-30T21:40:44.127,0.700,-4.390,26.951,-33.049
1685472044147,2023-05-30T21:40:44.147,0.720,-7.378,27.683,-31.951
1685472044167,2023-05-30T21:40:44.167,0.740,-11.098,28.476,-30.122
1685472044187,2023-05-30T21:40:44.187,0.760,-15.061,28.780,-27.256
