epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685472433241,2023-05-30T21:47:13.241,0.000,-2.561,-0.305,0.915
1685472433261,2023-05-30T21:47:13.261,0.020,-2.927,-0.061,1.220
1685472433281,2023-05-30T21:47:13.281,0.040,-2.439,-0.305,1.829
1685472433301,2023-05-30T21:47:13.301,0.060,-1.585,-3.232,2.500
1685472433321,2023-05-30T21:47:13.321,0.080,-1.463,-5.183,2.256
1685472433341,2023-05-30T21:47:13.341,0.100,-2.073,-3.598,1.585
1685472433361,2023-05-30T21:47:13.361,0.120,-2.073,-0.183,0.915
1685472433381,2023-05-30T21:47:13.381,0.140,-1.646,-1.098,0.549
1685472433401,2023-05-30T21:47:13.401,0.160,-1.463,-3.598,0.305
1685472433421,2023-05-30T21:47:13.421,0.180,-0.366,-4.451,0.244
1685472433441,2023-05-30T21:47:13.441,0.200,1.159,-5.793,1.159
1685472433461,2023-05-30T21:47:13.461,0.220,1.037,-6.037,2.500
1685472433481,2023-05-30T21:47:13.481,0.240,0.549,-1.646,3.171
1685472433501,2023-05-30T21:47:13.501,0.260,-0.183,-0.854,3.598
1685472433521,2023-05-30T21:47:13.521,0.280,-1.098,-4.024,4.085
1685472433541,2023-05-30T21:47:13.541,0.300,-1.890,-1.707,4.390
1685472433561,2023-05-30T21:47:13.561,0.320,-2.256,2.073,4.512
1685472433581,2023-05-30T21:47:13.581,0.340,-1.524,3.841,3.963
1685472433601,2023-05-30T21:47:13.601,0.360,-0.183,6.890,2.561
1685472433621,2023-05-30T21:47:13.621,0.380,1.341,9.085,0.854
1685472433641,2023-05-30T21:47:13.641,0.400,2.378,8.354,-1.707
1685472433661,2023-05-30T21:47:13.661,0.420,3.720,7.805,-4.390
1685472433681,2023-05-30T21:47:13.681,0.440,5.488,9.207,-7.134
1685472433701,2023-05-30T21:47:13.701,0.460,6.341,9.756,-9.817
1685472433721,2023-05-30T21:47:13.721,0.480,7.073,7.988,-11.463
1685472433741,2023-05-30T21:47:13.741,0.500,7.378,8.537,-12.866
1685472433761,2023-05-30T21:47:13.761,0.520,7.805,12.683,-14.695
1685472433781,2023-05-30T21:47:13.781,0.540,8.659,13.841,-16.341
1685472433801,2023-05-30T21:47:13.801,0.560,9.085,12.500,-18.232
