epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685474226441,2023-05-30T22:17:06.441,0.000,0.083,-0.848,0.520
1685474226461,2023-05-30T22:17:06.461,0.020,0.057,-0.851,0.514
1685474226481,2023-05-30T22:17:06.481,0.040,0.053,-0.853,0.518
1685474226501,2023-05-30T22:17:06.501,0.060,0.050,-0.848,0.522
1685474226521,2023-05-30T22:17:06.521,0.080,0.048,-0.854,0.520
1685474226541,2023-05-30T22:17:06.541,0.100,0.039,-0.844,0.532
1685474226561,2023-05-30T22:17:06.561,0.120,0.036,-0.832,0.534
1685474226581,2023-05-30T22:17:06.581,0.140,0.011,-0.823,0.525
1685474226601,2023-05-30T22:17:06.601,0.160,0.001,-0.819,0.527
1685474226621,2023-05-30T22:17:06.621,0.180,-0.019,-0.797,0.525
1685474226641,2023-05-30T22:17:06.641,0.200,-0.039,-0.767,0.518
1685474226661,2023-05-30T22:17:06.661,0.220,-0.051,-0.750,0.492
1685474226681,2023-05-30T22:17:06.681,0.240,-0.033,-0.736,0.477
1685474226701,2023-05-30T22:17:06.701,0.260,-0.044,-0.704,0.461
1685474226721,2023-05-30T22:17:06.721,0.280,-0.095,-0.690,0.449
1685474226741,2023-05-30T22:17:06.741,0.300,-0.109,-0.687,0.444
1685474226761,2023-05-30T22:17:06.761,0.320,-0.135,-0.674,0.448
1685474226781,2023-05-30T22:17:06.781,0.340,-0.194,-0.666,0.448
1685474226801,2023-05-30T22:17:06.801,0.360,-0.262,-0.660,0.458
1685474226821,2023-05-30T22:17:06.821,0.380,-0.272,-0.644,0.480
1685474226841,2023-05-30T22:17:06.841,0.400,-0.315,-0.628,0.496
1685474226861,2023-05-30T22:17:06.861,0.420,-0.372,-0.635,0.499
1685474226881,2023-05-30T22:17:06.881,0.440,-0.391,-0.654,0.519
1685474226901,2023-05-30T22:17:06.901,0.460,-0.403,-0.669,0.548
1685474226921,2023-05-30T22:17:06.921,0.480,-0.398,-0.670,0.572
1685474226941,2023-05-30T22:17:06.941,0.500,-0.420,-0.676,0.589
1685474226961,2023-05-30T22:17:06.961,0.520,-0.439,-0.692,0.621
1685474226981,2023-05-30T22:17:06.981,0.540,-0.449,-0.705,0.657
1685474227001,2023-05-30T22:17:07.001,0.560,-0.437,-0.714,0.686
1685474227021,2023-05-30T22:17:07.021,0.580,-0.428,-0.721,0.715
1685474227041,2023-05-30T22:17:07.041,0.600,-0.440,-0.729,0.726
1685474227061,2023-05-30T22:17:07.061,0.620,-0.400,-0.727,0.759
1685474227081,2023-05-30T22:17:07.081,0.640,-0.354,-0.743,0.783
1685474227101,2023-05-30T22:17:07.101,0.660,-0.353,-0.764,0.789
1685474227121,2023-05-30T22:17:07.121,0.680,-0.325,-0.789,0.805
1685474227141,2023-05-30T22:17:07.141,0.700,-0.287,-0.804,0.827
1685474227161,2023-05-30T22:17:07.161,0.720,-0.251,-0.811,0.829
1685474227181,2023-05-30T22:17:07.181,0.740,-0.223,-0.847,0.829
1685474227201,2023-05-30T22:17:07.201,0.760,-0.208,-0.865,0.835
1685474227221,2023-05-30T22:17:07.221,0.780,-0.181,-0.865,0.829
1685474227241,2023-05-30T22:17:07.241,0.800,-0.166,-0.869,0.813
1685474227261,2023-05-30T22:17:07.261,0.820,-0.156,-0.860,0.799
1685474227281,2023-05-30T22:17:07.281,0.840,-0.134,-0.853,0.778
1685474227301,2023-05-30T22:17:07.301,0.860,-0.105,-0.857,0.754
1685474227321,2023-05-30T22:17:07.321,0.880,-0.096,-0.861,0.740
1685474227341,2023-05-30T22:17:07.341,0.900,-0.094,-0.861,0.715
1685474227361,2023-05-30T22:17:07.361,0.920,-0.077,-0.860,0.682
1685474227381,2023-05-30T22:17:07.381,0.940,-0.070,-0.859,0.657
1685474227401,2023-05-30T22:17:07.401,0.960,-0.063,-0.849,0.652
1685474227421,2023-05-30T22:17:07.421,0.980,-0.048,-0.845,0.626
1685474227441,2023-05-30T22:17:07.441,1.000,-0.028,-0.840,0.603
1685474227461,2023-05-30T22:17:07.461,1.020,-0.036,-0.836,0.583
1685474227481,2023-05-30T22:17:07.481,1.040,-0.039,-0.819,0.556
1685474227501,2023-05-30T22:17:07.501,1.060,-0.036,-0.800,0.521
1685474227521,2023-05-30T22:17:07.521,1.080,-0.037,-0.781,0.494
1685474227541,2023-05-30T22:17:07.541,1.100,-0.031,-0.760,0.447
1685474227561,2023-05-30T22:17:07.561,1.120,-0.037,-0.745,0.408
1685474227581,2023-05-30T22:17:07.581,1.140,-0.065,-0.738,0.371
1685474227601,2023-05-30T22:17:07.601,1.160,-0.099,-0.729,0.342
1685474227621,2023-05-30T22:17:07.621,1.180,-0.137,-0.709,0.318
1685474227641,2023-05-30T22:17:07.641,1.200,-0.200,-0.684,0.297
1685474227661,2023-05-30T22:17:07.661,1.220,-0.252,-0.674,0.278
1685474227681,2023-05-30T22:17:07.681,1.240,-0.240,-0.656,0.274
1685474227701,2023-05-30T22:17:07.701,1.260,-0.264,-0.628,0.278
1685474227721,2023-05-30T22:17:07.721,1.280,-0.394,-0.626,0.274
1685474227741,2023-05-30T22:17:07.741,1.300,-0.479,-0.631,0.278
1685474227761,2023-05-30T22:17:07.761,1.320,-0.544,-0.662,0.292
1685474227781,2023-05-30T22:17:07.781,1.340,-0.598,-0.684,0.306
1685474227801,2023-05-30T22:17:07.801,1.360,-0.626,-0.708,0.336
1685474227821,2023-05-30T22:17:07.821,1.380,-0.614,-0.750,0.391
1685474227841,2023-05-30T22:17:07.841,1.400,-0.583,-0.783,0.421
1685474227861,2023-05-30T22:17:07.861,1.420,-0.553,-0.813,0.454
1685474227881,2023-05-30T22:17:07.881,1.440,-0.455,-0.829,0.501
1685474227901,2023-05-30T22:17:07.901,1.460,-0.297,-0.849,0.500
1685474227921,2023-05-30T22:17:07.921,1.480,-0.195,-0.838,0.464
1685474227941,2023-05-30T22:17:07.941,1.500,-0.177,-0.842,0.440
1685474227961,2023-05-30T22:17:07.961,1.520,-0.199,-0.842,0.413
1685474227981,2023-05-30T22:17:07.981,1.540,-0.249,-0.819,0.401
1685474228001,2023-05-30T22:17:08.001,1.560,-0.334,-0.814,0.395
1685474228021,2023-05-30T22:17:08.021,1.580,-0.434,-0.791,0.396
1685474228041,2023-05-30T22:17:08.041,1.600,-0.474,-0.759,0.393
1685474228061,2023-05-30T22:17:08.061,1.620,-0.640,-0.731,0.411
1685474228081,2023-05-30T22:17:08.081,1.640,-0.776,-0.725,0.419
1685474228101,2023-05-30T22:17:08.101,1.660,-0.798,-0.696,0.428
1685474228121,2023-05-30T22:17:08.121,1.680,-0.849,-0.667,0.420
1685474228141,2023-05-30T22:17:08.141,1.700,-0.815,-0.650,0.418
1685474228161,2023-05-30T22:17:08.161,1.720,-0.742,-0.641,0.428
1685474228181,2023-05-30T22:17:08.181,1.740,-0.660,-0.642,0.434
1685474228201,2023-05-30T22:17:08.201,1.760,-0.567,-0.657,0.431
1685474228221,2023-05-30T22:17:08.221,1.780,-0.477,-0.670,0.422
1685474228241,2023-05-30T22:17:08.241,1.800,-0.390,-0.688,0.430
1685474228261,2023-05-30T22:17:08.261,1.820,-0.307,-0.718,0.451
1685474228281,2023-05-30T22:17:08.281,1.840,-0.278,-0.760,0.456
1685474228301,2023-05-30T22:17:08.301,1.860,-0.247,-0.803,0.468
1685474228321,2023-05-30T22:17:08.321,1.880,-0.248,-0.848,0.503
1685474228341,2023-05-30T22:17:08.341,1.900,-0.202,-0.884,0.539
