epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685474394896,2023-05-30T22:19:54.896,0.000,-0.124,-0.863,0.495
1685474394916,2023-05-30T22:19:54.916,0.020,-0.120,-0.879,0.503
1685474394936,2023-05-30T22:19:54.936,0.040,-0.131,-0.875,0.497
1685474394956,2023-05-30T22:19:54.956,0.060,-0.120,-0.877,0.488
1685474394976,2023-05-30T22:19:54.976,0.080,-0.081,-0.884,0.479
1685474394996,2023-05-30T22:19:54.996,0.100,-0.071,-0.880,0.484
1685474395016,2023-05-30T22:19:55.016,0.120,-0.044,-0.885,0.509
1685474395036,2023-05-30T22:19:55.036,0.140,-0.026,-0.889,0.507
1685474395056,2023-05-30T22:19:55.056,0.160,-0.030,-0.878,0.506
1685474395076,2023-05-30T22:19:55.076,0.180,-0.063,-0.864,0.520
1685474395096,2023-05-30T22:19:55.096,0.200,-0.088,-0.849,0.510
1685474395116,2023-05-30T22:19:55.116,0.220,-0.099,-0.829,0.498
1685474395136,2023-05-30T22:19:55.136,0.240,-0.113,-0.809,0.475
1685474395156,2023-05-30T22:19:55.156,0.260,-0.132,-0.785,0.442
1685474395176,2023-05-30T22:19:55.176,0.280,-0.131,-0.766,0.422
1685474395196,2023-05-30T22:19:55.196,0.300,-0.151,-0.749,0.406
1685474395216,2023-05-30T22:19:55.216,0.320,-0.166,-0.719,0.393
1685474395236,2023-05-30T22:19:55.236,0.340,-0.194,-0.686,0.380
1685474395256,2023-05-30T22:19:55.256,0.360,-0.247,-0.668,0.380
1685474395276,2023-05-30T22:19:55.276,0.380,-0.273,-0.660,0.394
1685474395296,2023-05-30T22:19:55.296,0.400,-0.299,-0.658,0.406
1685474395316,2023-05-30T22:19:55.316,0.420,-0.333,-0.651,0.414
1685474395336,2023-05-30T22:19:55.336,0.440,-0.362,-0.646,0.429
1685474395356,2023-05-30T22:19:55.356,0.460,-0.391,-0.639,0.457
1685474395376,2023-05-30T22:19:55.376,0.480,-0.439,-0.633,0.478
1685474395396,2023-05-30T22:19:55.396,0.500,-0.458,-0.627,0.501
1685474395416,2023-05-30T22:19:55.416,0.520,-0.497,-0.632,0.521
1685474395436,2023-05-30T22:19:55.436,0.540,-0.560,-0.643,0.538
1685474395456,2023-05-30T22:19:55.456,0.560,-0.582,-0.639,0.561
1685474395476,2023-05-30T22:19:55.476,0.580,-0.580,-0.647,0.579
1685474395496,2023-05-30T22:19:55.496,0.600,-0.566,-0.657,0.598
1685474395516,2023-05-30T22:19:55.516,0.620,-0.572,-0.662,0.610
1685474395536,2023-05-30T22:19:55.536,0.640,-0.563,-0.655,0.638
1685474395556,2023-05-30T22:19:55.556,0.660,-0.567,-0.645,0.669
1685474395576,2023-05-30T22:19:55.576,0.680,-0.563,-0.647,0.680
1685474395596,2023-05-30T22:19:55.596,0.700,-0.542,-0.660,0.698
1685474395616,2023-05-30T22:19:55.616,0.720,-0.516,-0.676,0.720
1685474395636,2023-05-30T22:19:55.636,0.740,-0.498,-0.688,0.750
1685474395656,2023-05-30T22:19:55.656,0.760,-0.467,-0.695,0.756
1685474395676,2023-05-30T22:19:55.676,0.780,-0.447,-0.730,0.751
1685474395696,2023-05-30T22:19:55.696,0.800,-0.442,-0.774,0.766
1685474395716,2023-05-30T22:19:55.716,0.820,-0.403,-0.815,0.805
1685474395736,2023-05-30T22:19:55.736,0.840,-0.384,-0.859,0.828
1685474395756,2023-05-30T22:19:55.756,0.860,-0.372,-0.886,0.826
1685474395776,2023-05-30T22:19:55.776,0.880,-0.344,-0.884,0.815
1685474395796,2023-05-30T22:19:55.796,0.900,-0.301,-0.875,0.797
1685474395816,2023-05-30T22:19:55.816,0.920,-0.260,-0.874,0.771
1685474395836,2023-05-30T22:19:55.836,0.940,-0.235,-0.873,0.736
1685474395856,2023-05-30T22:19:55.856,0.960,-0.227,-0.865,0.691
1685474395876,2023-05-30T22:19:55.876,0.980,-0.201,-0.859,0.648
1685474395896,2023-05-30T22:19:55.896,1.000,-0.169,-0.858,0.619
1685474395916,2023-05-30T22:19:55.916,1.020,-0.156,-0.854,0.595
1685474395936,2023-05-30T22:19:55.936,1.040,-0.150,-0.846,0.569
1685474395956,2023-05-30T22:19:55.956,1.060,-0.134,-0.845,0.549
1685474395976,2023-05-30T22:19:55.976,1.080,-0.127,-0.842,0.529
1685474395996,2023-05-30T22:19:55.996,1.100,-0.128,-0.810,0.491
1685474396016,2023-05-30T22:19:56.016,1.120,-0.122,-0.782,0.461
1685474396036,2023-05-30T22:19:56.036,1.140,-0.153,-0.770,0.424
1685474396056,2023-05-30T22:19:56.056,1.160,-0.149,-0.764,0.375
1685474396076,2023-05-30T22:19:56.076,1.180,-0.130,-0.748,0.333
1685474396096,2023-05-30T22:19:56.096,1.200,-0.144,-0.737,0.294
1685474396116,2023-05-30T22:19:56.116,1.220,-0.156,-0.736,0.267
1685474396136,2023-05-30T22:19:56.136,1.240,-0.164,-0.715,0.263
1685474396156,2023-05-30T22:19:56.156,1.260,-0.190,-0.686,0.278
1685474396176,2023-05-30T22:19:56.176,1.280,-0.271,-0.678,0.289
1685474396196,2023-05-30T22:19:56.196,1.300,-0.347,-0.655,0.301
1685474396216,2023-05-30T22:19:56.216,1.320,-0.414,-0.633,0.314
1685474396236,2023-05-30T22:19:56.236,1.340,-0.469,-0.613,0.333
1685474396256,2023-05-30T22:19:56.256,1.360,-0.571,-0.617,0.358
1685474396276,2023-05-30T22:19:56.276,1.380,-0.690,-0.674,0.414
1685474396296,2023-05-30T22:19:56.296,1.400,-0.754,-0.741,0.470
1685474396316,2023-05-30T22:19:56.316,1.420,-0.501,-0.802,0.483
1685474396336,2023-05-30T22:19:56.336,1.440,-0.437,-0.835,0.451
