epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685388655803,2023-05-29T22:30:55.803,0.000,-0.233,-0.778,0.563
1685388655823,2023-05-29T22:30:55.823,0.020,-0.214,-0.783,0.567
1685388655843,2023-05-29T22:30:55.843,0.040,-0.216,-0.792,0.564
1685388655863,2023-05-29T22:30:55.863,0.060,-0.241,-0.790,0.568
1685388655883,2023-05-29T22:30:55.883,0.080,-0.212,-0.793,0.568
1685388655903,2023-05-29T22:30:55.903,0.100,-0.217,-0.796,0.564
1685388655923,2023-05-29T22:30:55.923,0.120,-0.256,-0.788,0.552
1685388655943,2023-05-29T22:30:55.943,0.140,-0.268,-0.787,0.540
1685388655963,2023-05-29T22:30:55.963,0.160,-0.208,-0.798,0.550
1685388655983,2023-05-29T22:30:55.983,0.180,-0.204,-0.800,0.553
1685388656003,2023-05-29T22:30:56.003,0.200,-0.228,-0.799,0.534
1685388656023,2023-05-29T22:30:56.023,0.220,-0.234,-0.793,0.522
1685388656043,2023-05-29T22:30:56.043,0.240,-0.219,-0.787,0.517
1685388656063,2023-05-29T22:30:56.063,0.260,-0.213,-0.791,0.507
1685388656083,2023-05-29T22:30:56.083,0.280,-0.206,-0.795,0.506
1685388656103,2023-05-29T22:30:56.103,0.300,-0.191,-0.784,0.505
1685388656123,2023-05-29T22:30:56.123,0.320,-0.179,-0.762,0.488
1685388656143,2023-05-29T22:30:56.143,0.340,-0.160,-0.742,0.479
1685388656163,2023-05-29T22:30:56.163,0.360,-0.155,-0.717,0.479
1685388656183,2023-05-29T22:30:56.183,0.380,-0.204,-0.700,0.489
1685388656203,2023-05-29T22:30:56.203,0.400,-0.250,-0.691,0.487
1685388656223,2023-05-29T22:30:56.223,0.420,-0.275,-0.690,0.481
1685388656243,2023-05-29T22:30:56.243,0.440,-0.321,-0.679,0.494
1685388656263,2023-05-29T22:30:56.263,0.460,-0.339,-0.666,0.509
1685388656283,2023-05-29T22:30:56.283,0.480,-0.368,-0.656,0.521
1685388656303,2023-05-29T22:30:56.303,0.500,-0.396,-0.649,0.535
1685388656323,2023-05-29T22:30:56.323,0.520,-0.417,-0.642,0.546
1685388656343,2023-05-29T22:30:56.343,0.540,-0.430,-0.639,0.554
1685388656363,2023-05-29T22:30:56.363,0.560,-0.433,-0.634,0.560
1685388656383,2023-05-29T22:30:56.383,0.580,-0.427,-0.646,0.573
1685388656403,2023-05-29T22:30:56.403,0.600,-0.438,-0.652,0.598
1685388656423,2023-05-29T22:30:56.423,0.620,-0.459,-0.655,0.621
1685388656443,2023-05-29T22:30:56.443,0.640,-0.457,-0.646,0.634
1685388656463,2023-05-29T22:30:56.463,0.660,-0.458,-0.659,0.651
1685388656483,2023-05-29T22:30:56.483,0.680,-0.464,-0.681,0.678
1685388656503,2023-05-29T22:30:56.503,0.700,-0.446,-0.685,0.712
1685388656523,2023-05-29T22:30:56.523,0.720,-0.426,-0.681,0.735
1685388656543,2023-05-29T22:30:56.543,0.740,-0.423,-0.681,0.750
1685388656563,2023-05-29T22:30:56.563,0.760,-0.415,-0.697,0.771
1685388656583,2023-05-29T22:30:56.583,0.780,-0.382,-0.727,0.806
1685388656603,2023-05-29T22:30:56.603,0.800,-0.354,-0.734,0.832
1685388656623,2023-05-29T22:30:56.623,0.820,-0.346,-0.732,0.827
1685388656643,2023-05-29T22:30:56.643,0.840,-0.332,-0.758,0.824
1685388656663,2023-05-29T22:30:56.663,0.860,-0.283,-0.786,0.825
1685388656683,2023-05-29T22:30:56.683,0.880,-0.235,-0.814,0.811
1685388656703,2023-05-29T22:30:56.703,0.900,-0.193,-0.841,0.791
1685388656723,2023-05-29T22:30:56.723,0.920,-0.175,-0.842,0.761
1685388656743,2023-05-29T22:30:56.743,0.940,-0.153,-0.855,0.743
1685388656763,2023-05-29T22:30:56.763,0.960,-0.139,-0.863,0.729
1685388656783,2023-05-29T22:30:56.783,0.980,-0.119,-0.848,0.705
