epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685197454380,2023-05-27T17:24:14.380,0.000,0.340,-0.880,0.233
1685197454400,2023-05-27T17:24:14.400,0.020,0.351,-0.884,0.236
1685197454420,2023-05-27T17:24:14.420,0.040,0.327,-0.857,0.250
1685197454440,2023-05-27T17:24:14.440,0.060,0.337,-0.838,0.271
1685197454460,2023-05-27T17:24:14.460,0.080,0.333,-0.837,0.272
1685197454480,2023-05-27T17:24:14.480,0.100,0.318,-0.807,0.289
1685197454500,2023-05-27T17:24:14.500,0.120,0.324,-0.790,0.306
1685197454520,2023-05-27T17:24:14.520,0.140,0.331,-0.767,0.311
1685197454540,2023-05-27T17:24:14.540,0.160,0.325,-0.736,0.338
1685197454560,2023-05-27T17:24:14.560,0.180,0.303,-0.698,0.379
1685197454580,2023-05-27T17:24:14.580,0.200,0.303,-0.682,0.412
1685197454600,2023-05-27T17:24:14.600,0.220,0.367,-0.706,0.383
1685197454620,2023-05-27T17:24:14.620,0.240,0.519,-0.719,0.355
1685197454640,2023-05-27T17:24:14.640,0.260,0.397,-0.720,0.457
1685197454660,2023-05-27T17:24:14.660,0.280,0.129,-0.684,0.571
1685197454680,2023-05-27T17:24:14.680,0.300,0.172,-0.695,0.613
1685197454700,2023-05-27T17:24:14.700,0.320,0.345,-0.785,0.621
1685197454720,2023-05-27T17:24:14.720,0.340,0.372,-0.853,0.643
1685197454740,2023-05-27T17:24:14.740,0.360,0.386,-0.918,0.667
1685197454760,2023-05-27T17:24:14.760,0.380,0.400,-0.979,0.640
1685197454780,2023-05-27T17:24:14.780,0.400,0.188,-0.979,0.584
1685197454800,2023-05-27T17:24:14.800,0.420,0.150,-1.012,0.482
1685197454820,2023-05-27T17:24:14.820,0.440,0.339,-1.062,0.415
1685197454840,2023-05-27T17:24:14.840,0.460,0.450,-1.128,0.414
1685197454860,2023-05-27T17:24:14.860,0.480,0.356,-1.102,0.411
1685197454880,2023-05-27T17:24:14.880,0.500,0.291,-1.056,0.377
