epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685131565889,2023-05-26T23:06:05.889,0.000,-11.220,19.939,3.780
1685131565909,2023-05-26T23:06:05.909,0.020,-11.524,20.976,4.024
1685131565929,2023-05-26T23:06:05.929,0.040,-14.207,23.841,5.610
1685131565949,2023-05-26T23:06:05.949,0.060,-17.012,24.695,8.415
1685131565969,2023-05-26T23:06:05.969,0.080,-19.390,26.220,11.341
1685131565989,2023-05-26T23:06:05.989,0.100,-20.549,45.122,13.415
1685131566009,2023-05-26T23:06:06.009,0.120,-21.341,68.049,17.073
1685131566029,2023-05-26T23:06:06.029,0.140,-23.293,75.305,22.195
1685131566049,2023-05-26T23:06:06.049,0.160,-25.671,63.963,27.744
1685131566069,2023-05-26T23:06:06.069,0.180,-27.561,41.463,32.134
1685131566089,2023-05-26T23:06:06.089,0.200,-27.805,22.927,34.817
1685131566109,2023-05-26T23:06:06.109,0.220,-26.159,16.037,35.915
1685131566129,2023-05-26T23:06:06.129,0.240,-23.659,17.927,36.402
1685131566149,2023-05-26T23:06:06.149,0.260,-20.610,18.659,37.317
1685131566169,2023-05-26T23:06:06.169,0.280,-17.256,13.537,37.927
1685131566189,2023-05-26T23:06:06.189,0.300,-13.780,4.268,38.293
1685131566209,2023-05-26T23:06:06.209,0.320,-9.390,-5.061,37.805
1685131566229,2023-05-26T23:06:06.229,0.340,-3.963,-9.146,36.037
1685131566249,2023-05-26T23:06:06.249,0.360,2.622,-11.159,34.390
1685131566269,2023-05-26T23:06:06.269,0.380,10.183,-17.744,31.280
1685131566289,2023-05-26T23:06:06.289,0.400,17.073,-22.134,28.720
1685131566309,2023-05-26T23:06:06.309,0.420,23.110,-19.268,26.524
1685131566329,2023-05-26T23:06:06.329,0.440,27.683,-12.622,24.878
1685131566349,2023-05-26T23:06:06.349,0.460,31.341,-5.671,22.378
1685131566369,2023-05-26T23:06:06.369,0.480,36.280,-6.037,19.939
1685131566389,2023-05-26T23:06:06.389,0.500,41.951,-13.354,15.732
1685131566409,2023-05-26T23:06:06.409,0.520,48.598,-22.561,11.524
1685131566429,2023-05-26T23:06:06.429,0.540,54.268,-29.268,7.744
1685131566449,2023-05-26T23:06:06.449,0.560,58.841,-27.988,3.598
1685131566469,2023-05-26T23:06:06.469,0.580,64.817,-29.085,-0.793
