epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685388177962,2023-05-29T22:22:57.962,0.000,-0.284,-0.841,0.425
1685388177982,2023-05-29T22:22:57.982,0.020,-0.294,-0.843,0.428
1685388178002,2023-05-29T22:22:58.002,0.040,-0.308,-0.840,0.426
1685388178022,2023-05-29T22:22:58.022,0.060,-0.299,-0.851,0.426
1685388178042,2023-05-29T22:22:58.042,0.080,-0.285,-0.857,0.429
1685388178062,2023-05-29T22:22:58.062,0.100,-0.280,-0.854,0.431
1685388178082,2023-05-29T22:22:58.082,0.120,-0.272,-0.852,0.441
1685388178102,2023-05-29T22:22:58.102,0.140,-0.271,-0.851,0.452
1685388178122,2023-05-29T22:22:58.122,0.160,-0.274,-0.856,0.449
1685388178142,2023-05-29T22:22:58.142,0.180,-0.268,-0.870,0.445
1685388178162,2023-05-29T22:22:58.162,0.200,-0.273,-0.878,0.442
1685388178182,2023-05-29T22:22:58.182,0.220,-0.263,-0.891,0.436
1685388178202,2023-05-29T22:22:58.202,0.240,-0.255,-0.891,0.424
1685388178222,2023-05-29T22:22:58.222,0.260,-0.243,-0.875,0.417
1685388178242,2023-05-29T22:22:58.242,0.280,-0.242,-0.867,0.412
1685388178262,2023-05-29T22:22:58.262,0.300,-0.238,-0.870,0.410
1685388178282,2023-05-29T22:22:58.282,0.320,-0.237,-0.868,0.402
1685388178302,2023-05-29T22:22:58.302,0.340,-0.237,-0.870,0.395
1685388178322,2023-05-29T22:22:58.322,0.360,-0.238,-0.863,0.383
1685388178342,2023-05-29T22:22:58.342,0.380,-0.251,-0.851,0.377
1685388178362,2023-05-29T22:22:58.362,0.400,-0.265,-0.850,0.372
1685388178382,2023-05-29T22:22:58.382,0.420,-0.274,-0.844,0.370
1685388178402,2023-05-29T22:22:58.402,0.440,-0.290,-0.821,0.365
1685388178422,2023-05-29T22:22:58.422,0.460,-0.291,-0.800,0.353
1685388178442,2023-05-29T22:22:58.442,0.480,-0.298,-0.787,0.338
1685388178462,2023-05-29T22:22:58.462,0.500,-0.306,-0.771,0.327
1685388178482,2023-05-29T22:22:58.482,0.520,-0.306,-0.760,0.317
1685388178502,2023-05-29T22:22:58.502,0.540,-0.314,-0.747,0.314
1685388178522,2023-05-29T22:22:58.522,0.560,-0.354,-0.729,0.327
1685388178542,2023-05-29T22:22:58.542,0.580,-0.380,-0.717,0.345
1685388178562,2023-05-29T22:22:58.562,0.600,-0.418,-0.709,0.363
1685388178582,2023-05-29T22:22:58.582,0.620,-0.457,-0.721,0.371
1685388178602,2023-05-29T22:22:58.602,0.640,-0.465,-0.740,0.383
1685388178622,2023-05-29T22:22:58.622,0.660,-0.456,-0.738,0.408
1685388178642,2023-05-29T22:22:58.642,0.680,-0.451,-0.717,0.432
1685388178662,2023-05-29T22:22:58.662,0.700,-0.464,-0.708,0.453
1685388178682,2023-05-29T22:22:58.682,0.720,-0.479,-0.731,0.482
1685388178702,2023-05-29T22:22:58.702,0.740,-0.476,-0.740,0.503
1685388178722,2023-05-29T22:22:58.722,0.760,-0.459,-0.729,0.513
1685388178742,2023-05-29T22:22:58.742,0.780,-0.439,-0.722,0.516
1685388178762,2023-05-29T22:22:58.762,0.800,-0.430,-0.734,0.522
1685388178782,2023-05-29T22:22:58.782,0.820,-0.431,-0.752,0.540
1685388178802,2023-05-29T22:22:58.802,0.840,-0.438,-0.750,0.559
1685388178822,2023-05-29T22:22:58.822,0.860,-0.440,-0.739,0.572
1685388178842,2023-05-29T22:22:58.842,0.880,-0.438,-0.743,0.589
1685388178862,2023-05-29T22:22:58.862,0.900,-0.435,-0.765,0.608
1685388178882,2023-05-29T22:22:58.882,0.920,-0.432,-0.766,0.625
1685388178902,2023-05-29T22:22:58.902,0.940,-0.424,-0.760,0.641
1685388178922,2023-05-29T22:22:58.922,0.960,-0.396,-0.766,0.648
1685388178942,2023-05-29T22:22:58.942,0.980,-0.377,-0.789,0.648
1685388178962,2023-05-29T22:22:58.962,1.000,-0.358,-0.816,0.656
1685388178982,2023-05-29T22:22:58.982,1.020,-0.337,-0.817,0.661
1685388179002,2023-05-29T22:22:59.002,1.040,-0.318,-0.809,0.660
1685388179022,2023-05-29T22:22:59.022,1.060,-0.298,-0.817,0.658
1685388179042,2023-05-29T22:22:59.042,1.080,-0.281,-0.841,0.659
1685388179062,2023-05-29T22:22:59.062,1.100,-0.256,-0.875,0.657
1685388179082,2023-05-29T22:22:59.082,1.120,-0.221,-0.896,0.657
1685388179102,2023-05-29T22:22:59.102,1.140,-0.212,-0.878,0.651
1685388179122,2023-05-29T22:22:59.122,1.160,-0.204,-0.853,0.633
1685388179142,2023-05-29T22:22:59.142,1.180,-0.191,-0.832,0.601
1685388179162,2023-05-29T22:22:59.162,1.200,-0.210,-0.823,0.569
1685388179182,2023-05-29T22:22:59.182,1.220,-0.224,-0.813,0.540
1685388179202,2023-05-29T22:22:59.202,1.240,-0.231,-0.799,0.508
1685388179222,2023-05-29T22:22:59.222,1.260,-0.243,-0.788,0.484
1685388179242,2023-05-29T22:22:59.242,1.280,-0.248,-0.782,0.464
1685388179262,2023-05-29T22:22:59.262,1.300,-0.261,-0.769,0.445
1685388179282,2023-05-29T22:22:59.282,1.320,-0.267,-0.751,0.429
1685388179302,2023-05-29T22:22:59.302,1.340,-0.285,-0.737,0.418
1685388179322,2023-05-29T22:22:59.322,1.360,-0.292,-0.729,0.408
1685388179342,2023-05-29T22:22:59.342,1.380,-0.327,-0.727,0.397
1685388179362,2023-05-29T22:22:59.362,1.400,-0.345,-0.726,0.393
1685388179382,2023-05-29T22:22:59.382,1.420,-0.363,-0.722,0.395
1685388179402,2023-05-29T22:22:59.402,1.440,-0.402,-0.718,0.392
1685388179422,2023-05-29T22:22:59.422,1.460,-0.439,-0.724,0.396
1685388179442,2023-05-29T22:22:59.442,1.480,-0.464,-0.731,0.395
1685388179462,2023-05-29T22:22:59.462,1.500,-0.485,-0.743,0.405
1685388179482,2023-05-29T22:22:59.482,1.520,-0.508,-0.754,0.418
1685388179502,2023-05-29T22:22:59.502,1.540,-0.510,-0.758,0.436
1685388179522,2023-05-29T22:22:59.522,1.560,-0.513,-0.761,0.452
1685388179542,2023-05-29T22:22:59.542,1.580,-0.500,-0.763,0.468
1685388179562,2023-05-29T22:22:59.562,1.600,-0.482,-0.765,0.476
1685388179582,2023-05-29T22:22:59.582,1.620,-0.457,-0.761,0.472
1685388179602,2023-05-29T22:22:59.602,1.640,-0.424,-0.757,0.465
1685388179622,2023-05-29T22:22:59.622,1.660,-0.403,-0.750,0.454
1685388179642,2023-05-29T22:22:59.642,1.680,-0.407,-0.744,0.435
1685388179662,2023-05-29T22:22:59.662,1.700,-0.416,-0.741,0.424
1685388179682,2023-05-29T22:22:59.682,1.720,-0.418,-0.743,0.407
1685388179702,2023-05-29T22:22:59.702,1.740,-0.431,-0.738,0.397
1685388179722,2023-05-29T22:22:59.722,1.760,-0.446,-0.732,0.401
1685388179742,2023-05-29T22:22:59.742,1.780,-0.457,-0.737,0.407
1685388179762,2023-05-29T22:22:59.762,1.800,-0.466,-0.749,0.419
