epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685197772110,2023-05-27T17:29:32.110,0.000,0.140,-0.959,0.279
1685197772130,2023-05-27T17:29:32.130,0.020,0.135,-0.969,0.287
1685197772150,2023-05-27T17:29:32.150,0.040,0.135,-0.963,0.298
1685197772170,2023-05-27T17:29:32.170,0.060,0.149,-0.966,0.298
1685197772190,2023-05-27T17:29:32.190,0.080,0.169,-0.965,0.320
1685197772210,2023-05-27T17:29:32.210,0.100,0.138,-0.948,0.332
1685197772230,2023-05-27T17:29:32.230,0.120,0.129,-0.949,0.322
1685197772250,2023-05-27T17:29:32.250,0.140,0.139,-0.961,0.292
1685197772270,2023-05-27T17:29:32.270,0.160,0.136,-0.962,0.251
1685197772290,2023-05-27T17:29:32.290,0.180,0.130,-0.941,0.274
1685197772310,2023-05-27T17:29:32.310,0.200,0.117,-0.946,0.290
1685197772330,2023-05-27T17:29:32.330,0.220,0.124,-0.955,0.273
1685197772350,2023-05-27T17:29:32.350,0.240,0.130,-0.950,0.270
1685197772370,2023-05-27T17:29:32.370,0.260,0.127,-0.941,0.255
1685197772390,2023-05-27T17:29:32.390,0.280,0.125,-0.939,0.231
1685197772410,2023-05-27T17:29:32.410,0.300,0.110,-0.931,0.225
1685197772430,2023-05-27T17:29:32.430,0.320,0.113,-0.920,0.209
1685197772450,2023-05-27T17:29:32.450,0.340,0.134,-0.904,0.200
1685197772470,2023-05-27T17:29:32.470,0.360,0.111,-0.899,0.190
1685197772490,2023-05-27T17:29:32.490,0.380,0.133,-0.894,0.211
1685197772510,2023-05-27T17:29:32.510,0.400,0.176,-0.891,0.252
1685197772530,2023-05-27T17:29:32.530,0.420,0.169,-0.880,0.278
1685197772550,2023-05-27T17:29:32.550,0.440,0.166,-0.879,0.268
1685197772570,2023-05-27T17:29:32.570,0.460,0.142,-0.874,0.250
1685197772590,2023-05-27T17:29:32.590,0.480,0.140,-0.884,0.254
1685197772610,2023-05-27T17:29:32.610,0.500,0.159,-0.892,0.271
1685197772630,2023-05-27T17:29:32.630,0.520,0.110,-0.860,0.235
1685197772650,2023-05-27T17:29:32.650,0.540,0.127,-0.863,0.235
1685197772670,2023-05-27T17:29:32.670,0.560,0.232,-0.898,0.291
1685197772690,2023-05-27T17:29:32.690,0.580,0.165,-0.867,0.324
1685197772710,2023-05-27T17:29:32.710,0.600,0.174,-0.868,0.325
1685197772730,2023-05-27T17:29:32.730,0.620,0.157,-0.854,0.308
1685197772750,2023-05-27T17:29:32.750,0.640,0.119,-0.827,0.292
1685197772770,2023-05-27T17:29:32.770,0.660,0.129,-0.815,0.354
1685197772790,2023-05-27T17:29:32.790,0.680,0.150,-0.832,0.427
1685197772810,2023-05-27T17:29:32.810,0.700,0.152,-0.852,0.431
1685197772830,2023-05-27T17:29:32.830,0.720,0.122,-0.854,0.402
1685197772850,2023-05-27T17:29:32.850,0.740,0.207,-0.858,0.415
1685197772870,2023-05-27T17:29:32.870,0.760,0.208,-0.903,0.452
1685197772890,2023-05-27T17:29:32.890,0.780,0.133,-0.917,0.458
1685197772910,2023-05-27T17:29:32.910,0.800,0.185,-0.959,0.480
1685197772930,2023-05-27T17:29:32.930,0.820,0.187,-0.974,0.489
1685197772950,2023-05-27T17:29:32.950,0.840,0.192,-1.019,0.459
1685197772970,2023-05-27T17:29:32.970,0.860,0.236,-1.087,0.442
1685197772990,2023-05-27T17:29:32.990,0.880,0.210,-1.143,0.371
1685197773010,2023-05-27T17:29:33.010,0.900,0.214,-1.194,0.299
1685197773030,2023-05-27T17:29:33.030,0.920,0.224,-1.188,0.269
1685197773050,2023-05-27T17:29:33.050,0.940,0.227,-1.167,0.235
1685197773070,2023-05-27T17:29:33.070,0.960,0.291,-1.165,0.236
1685197773090,2023-05-27T17:29:33.090,0.980,0.295,-1.100,0.244
1685197773110,2023-05-27T17:29:33.110,1.000,0.292,-1.044,0.198
1685197773130,2023-05-27T17:29:33.130,1.020,0.248,-0.983,0.141
1685197773150,2023-05-27T17:29:33.150,1.040,0.211,-0.938,0.111
1685197773170,2023-05-27T17:29:33.170,1.060,0.187,-0.890,0.127
1685197773190,2023-05-27T17:29:33.190,1.080,0.195,-0.838,0.155
1685197773210,2023-05-27T17:29:33.210,1.100,0.191,-0.809,0.202
1685197773230,2023-05-27T17:29:33.230,1.120,0.200,-0.777,0.267
1685197773250,2023-05-27T17:29:33.250,1.140,0.177,-0.737,0.348
1685197773270,2023-05-27T17:29:33.270,1.160,0.187,-0.714,0.421
1685197773290,2023-05-27T17:29:33.290,1.180,0.162,-0.708,0.463
1685197773310,2023-05-27T17:29:33.310,1.200,0.104,-0.732,0.488
1685197773330,2023-05-27T17:29:33.330,1.220,0.093,-0.768,0.480
1685197773350,2023-05-27T17:29:33.350,1.240,0.123,-0.820,0.504
1685197773370,2023-05-27T17:29:33.370,1.260,0.071,-0.849,0.570
1685197773390,2023-05-27T17:29:33.390,1.280,0.090,-0.868,0.592
1685197773410,2023-05-27T17:29:33.410,1.300,0.147,-0.895,0.582
1685197773430,2023-05-27T17:29:33.430,1.320,0.116,-0.887,0.573
1685197773450,2023-05-27T17:29:33.450,1.340,0.127,-0.896,0.560
1685197773470,2023-05-27T17:29:33.470,1.360,0.125,-0.897,0.544
1685197773490,2023-05-27T17:29:33.490,1.380,0.124,-0.894,0.547
1685197773510,2023-05-27T17:29:33.510,1.400,0.123,-0.910,0.539
1685197773530,2023-05-27T17:29:33.530,1.420,0.126,-0.934,0.531
1685197773550,2023-05-27T17:29:33.550,1.440,0.119,-0.973,0.490
1685197773570,2023-05-27T17:29:33.570,1.460,0.129,-0.999,0.422
1685197773590,2023-05-27T17:29:33.590,1.480,0.137,-1.002,0.378
1685197773610,2023-05-27T17:29:33.610,1.500,0.131,-1.008,0.362
1685197773630,2023-05-27T17:29:33.630,1.520,0.133,-1.015,0.299
1685197773650,2023-05-27T17:29:33.650,1.540,0.141,-1.016,0.239
1685197773670,2023-05-27T17:29:33.670,1.560,0.129,-1.003,0.189
1685197773690,2023-05-27T17:29:33.690,1.580,0.147,-1.015,0.193
1685197773710,2023-05-27T17:29:33.710,1.600,0.129,-0.975,0.229
1685197773730,2023-05-27T17:29:33.730,1.620,0.146,-0.937,0.239
1685197773750,2023-05-27T17:29:33.750,1.640,0.126,-0.908,0.231
1685197773770,2023-05-27T17:29:33.770,1.660,0.108,-0.897,0.181
1685197773790,2023-05-27T17:29:33.790,1.680,0.088,-0.885,0.119
1685197773810,2023-05-27T17:29:33.810,1.700,0.102,-0.868,0.095
1685197773830,2023-05-27T17:29:33.830,1.720,0.092,-0.830,0.103
1685197773850,2023-05-27T17:29:33.850,1.740,0.042,-0.773,0.149
1685197773870,2023-05-27T17:29:33.870,1.760,0.028,-0.716,0.232
1685197773890,2023-05-27T17:29:33.890,1.780,0.055,-0.708,0.344
1685197773910,2023-05-27T17:29:33.910,1.800,0.035,-0.698,0.428
1685197773930,2023-05-27T17:29:33.930,1.820,0.016,-0.717,0.435
1685197773950,2023-05-27T17:29:33.950,1.840,0.019,-0.782,0.398
1685197773970,2023-05-27T17:29:33.970,1.860,0.042,-0.840,0.383
1685197773990,2023-05-27T17:29:33.990,1.880,0.020,-0.875,0.433
