epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1685389199516,2023-05-29T22:39:59.516,0.000,-0.164,-0.824,0.535
1685389199536,2023-05-29T22:39:59.536,0.020,-0.155,-0.846,0.542
1685389199556,2023-05-29T22:39:59.556,0.040,-0.139,-0.848,0.525
1685389199576,2023-05-29T22:39:59.576,0.060,-0.132,-0.844,0.510
1685389199596,2023-05-29T22:39:59.596,0.080,-0.122,-0.845,0.496
1685389199616,2023-05-29T22:39:59.616,0.100,-0.123,-0.840,0.481
1685389199636,2023-05-29T22:39:59.636,0.120,-0.136,-0.832,0.461
1685389199656,2023-05-29T22:39:59.656,0.140,-0.143,-0.826,0.441
1685389199676,2023-05-29T22:39:59.676,0.160,-0.138,-0.809,0.414
1685389199696,2023-05-29T22:39:59.696,0.180,-0.128,-0.795,0.399
1685389199716,2023-05-29T22:39:59.716,0.200,-0.121,-0.775,0.406
1685389199736,2023-05-29T22:39:59.736,0.220,-0.132,-0.758,0.415
1685389199756,2023-05-29T22:39:59.756,0.240,-0.157,-0.736,0.444
1685389199776,2023-05-29T22:39:59.776,0.260,-0.176,-0.716,0.482
1685389199796,2023-05-29T22:39:59.796,0.280,-0.241,-0.703,0.499
1685389199816,2023-05-29T22:39:59.816,0.300,-0.294,-0.704,0.514
1685389199836,2023-05-29T22:39:59.836,0.320,-0.308,-0.699,0.530
1685389199856,2023-05-29T22:39:59.856,0.340,-0.335,-0.674,0.527
1685389199876,2023-05-29T22:39:59.876,0.360,-0.346,-0.654,0.521
1685389199896,2023-05-29T22:39:59.896,0.380,-0.316,-0.648,0.531
1685389199916,2023-05-29T22:39:59.916,0.400,-0.387,-0.659,0.561
1685389199936,2023-05-29T22:39:59.936,0.420,-0.439,-0.684,0.558
1685389199956,2023-05-29T22:39:59.956,0.440,-0.403,-0.694,0.552
1685389199976,2023-05-29T22:39:59.976,0.460,-0.401,-0.684,0.567
1685389199996,2023-05-29T22:39:59.996,0.480,-0.400,-0.688,0.582
1685389200016,2023-05-29T22:40:00.016,0.500,-0.383,-0.680,0.602
1685389200036,2023-05-29T22:40:00.036,0.520,-0.368,-0.678,0.629
1685389200056,2023-05-29T22:40:00.056,0.540,-0.362,-0.671,0.653
1685389200076,2023-05-29T22:40:00.076,0.560,-0.390,-0.678,0.676
1685389200096,2023-05-29T22:40:00.096,0.580,-0.390,-0.689,0.693
1685389200116,2023-05-29T22:40:00.116,0.600,-0.360,-0.694,0.716
